frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m
123,4.221,2.352,2.987,pose,1.266,0.386,1.525,0.164,2.7505,6.0729
124,4.255,3.008,3.008,bbox,1.266,0.386,1.525,0.164,2.7567,6.0969
125,4.29,3.028,3.009,bbox,1.266,0.386,1.525,0.164,2.7673,6.0951
126,4.324,2.417,3.008,pose,1.266,0.386,1.525,0.164,2.7704,6.1139
127,4.358,3.101,3.008,bbox,1.266,0.386,1.525,0.164,2.7623,6.1391
128,4.393,3.123,3.028,bbox,1.266,0.386,1.525,0.204,2.7587,6.1742
129,4.427,2.505,3.028,pose,1.266,0.386,1.525,0.204,2.7592,6.1655
130,4.461,3.14,3.101,bbox,1.266,0.386,1.525,0.256,2.7868,6.1826
131,4.496,3.14,3.123,bbox,1.266,0.386,1.525,0.256,2.7909,6.2236
132,4.53,2.491,3.123,pose,1.266,0.386,1.525,0.256,2.7977,6.2464
133,4.564,3.152,3.14,bbox,1.296,0.386,1.525,0.314,2.7885,6.2513
134,4.598,3.114,3.14,bbox,1.296,0.386,1.525,0.314,2.8392,6.2834
135,4.633,2.426,3.114,pose,1.296,0.386,1.525,0.314,2.8808,6.307
136,4.667,3.024,3.024,bbox,1.347,0.386,1.525,0.374,2.9175,6.3062
137,4.701,2.946,3.024,bbox,1.389,0.386,1.525,0.374,2.9773,6.3084
138,4.736,2.363,2.946,pose,1.425,0.386,1.525,0.374,3.0286,6.3049
139,4.77,2.876,2.876,bbox,1.485,0.386,1.525,0.374,3.0223,6.3018
140,4.804,2.875,2.876,bbox,1.53,0.386,1.525,0.374,3.0351,6.2861
141,4.839,2.249,2.875,pose,1.53,0.386,1.525,0.374,3.0785,6.2891
142,4.873,2.847,2.847,bbox,1.53,0.386,1.525,0.374,3.1406,6.286
143,4.907,2.904,2.875,bbox,1.586,0.386,1.525,0.374,3.1824,6.3236
144,4.942,2.075,2.847,pose,1.649,0.386,1.525,0.374,3.2205,6.3135
145,4.976,2.891,2.847,bbox,1.69,0.386,1.525,0.374,3.2347,6.2806
146,5.01,2.841,2.847,bbox,1.728,0.386,1.525,0.374,3.2828,6.2646
147,5.045,2.696,2.841,bbox,1.728,0.386,1.525,0.374,3.3078,6.1369
148,5.079,2.68,2.696,bbox,1.791,0.386,1.525,0.374,3.3411,6.0727
149,5.113,2.555,2.696,bbox,1.791,0.386,1.671,0.374,3.3469,5.9552
150,5.148,1.509,2.68,pose,1.791,0.386,1.735,0.374,3.3101,5.8572
151,5.182,2.421,2.555,bbox,1.791,0.386,1.853,0.374,3.2616,5.7752
152,5.216,2.398,2.421,bbox,1.791,0.386,1.951,0.374,3.2085,5.7172
153,5.251,2.337,2.398,bbox,1.791,0.386,2.033,0.374,3.1609,5.6065
154,5.285,2.293,2.337,bbox,1.791,0.46,2.091,0.374,3.1275,5.5111
155,5.319,2.261,2.337,bbox,1.791,0.508,2.202,0.374,3.0562,5.3963
156,5.353,1.656,2.293,pose,1.791,0.541,2.297,0.374,2.9796,5.33
157,5.388,2.314,2.293,bbox,1.791,0.612,2.412,0.374,2.8768,5.2511
158,5.422,2.236,2.261,bbox,1.791,0.689,2.478,0.374,2.8397,5.1486
159,5.456,1.844,2.236,pose,1.791,0.792,2.557,0.374,2.8536,5.1161
160,5.491,2.151,2.151,bbox,1.791,0.792,2.659,0.374,2.835,5.094
161,5.525,2.149,2.151,bbox,1.791,0.829,2.692,0.374,2.8198,5.0891
162,5.559,2.167,2.151,bbox,1.791,0.829,2.692,0.374,2.7892,5.0798
163,5.594,2.187,2.151,bbox,1.791,0.829,2.692,0.374,2.7599,5.0701
164,5.628,2.238,2.167,bbox,1.791,0.879,2.728,0.374,2.7285,5.0686
165,5.662,2.3,2.187,bbox,1.791,0.879,2.728,0.374,2.6934,5.0801
166,5.697,2.444,2.238,bbox,1.791,0.94,2.728,0.374,2.5826,5.0918
167,5.731,2.592,2.3,bbox,1.791,0.975,2.728,0.374,2.4553,5.0913
168,5.765,2.697,2.444,bbox,1.791,1.086,2.728,0.374,2.3546,5.082
169,5.8,2.767,2.592,bbox,1.791,1.213,2.728,0.374,2.272,5.0658
170,5.834,2.834,2.697,bbox,1.791,1.314,2.728,0.374,2.2224,5.0513
171,5.868,2.871,2.767,bbox,1.791,1.396,2.728,0.374,2.1972,5.0266
172,5.903,2.915,2.834,bbox,1.791,1.446,2.728,0.374,2.1483,5.0099
173,5.937,2.856,2.856,bbox,1.791,1.446,2.782,0.374,2.0993,4.9475
174,5.971,2.818,2.856,bbox,1.791,1.52,2.782,0.374,2.0404,4.9034
175,6.005,2.788,2.856,bbox,1.791,1.569,2.861,0.374,2.0217,4.8735
176,6.04,2.72,2.818,bbox,1.791,1.628,2.905,0.374,1.991,4.835
177,6.074,2.114,2.788,pose,1.791,1.628,2.905,0.374,1.978,4.8125
178,6.108,2.609,2.72,bbox,1.791,1.677,2.973,0.374,1.9765,4.7664
179,6.143,2.604,2.609,bbox,1.791,1.677,2.973,0.374,1.9653,4.7647
180,6.177,2.256,2.604,pose,1.791,1.677,3.042,0.374,1.9564,4.7445
181,6.211,2.623,2.604,bbox,1.791,1.677,3.042,0.374,1.9367,4.7323
182,6.246,2.678,2.609,bbox,1.791,1.712,3.042,0.374,1.9142,4.7449
183,6.28,2.302,2.604,pose,1.791,1.712,3.042,0.374,1.7478,4.7533
184,6.314,2.806,2.623,bbox,1.791,1.754,3.042,0.374,1.8364,4.7692
185,6.349,2.904,2.678,bbox,1.791,1.832,3.042,0.374,1.7569,4.7832
186,6.383,2.341,2.678,pose,1.791,1.884,3.042,0.374,1.784,4.8111
187,6.417,2.933,2.806,bbox,1.791,1.884,3.042,0.374,1.8286,4.8775
188,6.452,2.893,2.893,bbox,1.835,1.884,3.042,0.419,1.8545,4.9008
189,6.486,2.295,2.893,pose,1.835,1.884,3.042,0.485,1.8535,4.9151
190,6.52,2.872,2.872,bbox,1.835,1.884,3.042,0.485,1.8148,4.9012
191,6.555,2.865,2.872,bbox,1.835,1.884,3.042,0.485,1.8028,4.8758
192,6.589,2.317,2.865,pose,1.835,1.884,3.042,0.485,1.809,4.8668
193,6.623,2.86,2.86,bbox,1.835,1.884,3.042,0.485,1.8249,4.8548
194,6.658,2.865,2.865,bbox,1.835,1.884,3.042,0.485,1.8423,4.8612
195,6.692,2.367,2.86,pose,1.835,1.884,3.042,0.485,1.8497,4.856
196,6.726,2.87,2.86,bbox,1.835,1.884,3.042,0.485,1.8474,4.8692
197,6.76,2.88,2.865,bbox,1.835,1.884,3.042,0.485,1.8284,4.8645
198,6.795,2.362,2.865,pose,1.835,1.884,3.042,0.485,1.8193,4.878
199,6.829,2.907,2.87,bbox,1.835,1.884,3.042,0.485,1.8117,4.9024
200,6.863,2.917,2.88,bbox,1.835,1.884,3.042,0.485,1.8456,4.9303
201,6.898,2.283,2.88,pose,1.835,1.884,3.042,0.485,1.8796,4.9694
202,6.932,2.905,2.905,bbox,1.835,1.884,3.042,0.538,1.9078,5.0097
203,6.966,2.888,2.905,bbox,1.886,1.884,3.042,0.577,1.9526,5.0347
204,7.001,2.257,2.888,pose,1.886,1.884,3.042,0.617,2.0146,5.0643
205,7.035,2.908,2.888,bbox,1.959,1.884,3.042,0.617,2.0693,5.0888
206,7.069,2.872,2.888,bbox,2.021,1.884,3.042,0.672,2.1515,5.0882
207,7.104,2.871,2.872,bbox,2.076,1.884,3.042,0.672,2.2614,5.1441
208,7.138,2.914,2.872,bbox,2.158,1.884,3.042,0.672,2.3175,5.2256
209,7.172,2.919,2.908,bbox,2.268,1.884,3.042,0.752,2.3755,5.2544
210,7.207,2.784,2.872,bbox,2.324,1.884,3.042,0.752,2.4286,5.1703
211,7.241,2.75,2.871,bbox,2.382,1.884,3.042,0.752,2.4401,5.1449
212,7.275,2.745,2.784,bbox,2.435,1.884,3.042,0.752,2.453,5.1114
213,7.31,2.769,2.769,bbox,2.435,1.884,3.042,0.752,2.455,5.0885
214,7.344,2.805,2.769,bbox,2.435,1.884,3.074,0.752,2.4598,5.0687
215,7.378,2.84,2.769,bbox,2.435,1.884,3.074,0.752,2.4598,5.0665
216,7.412,2.465,2.769,pose,2.435,1.884,3.117,0.752,2.4412,5.0636
217,7.447,2.876,2.805,bbox,2.435,1.884,3.117,0.752,2.43,5.0603
218,7.481,2.962,2.84,bbox,2.435,1.884,3.117,0.752,2.3645,5.0708
219,7.515,2.485,2.84,pose,2.435,1.884,3.117,0.752,2.3294,5.0844
220,7.55,3.002,2.876,bbox,2.435,1.949,3.117,0.752,2.2937,5.1009
221,7.584,2.965,2.962,bbox,2.435,1.984,3.117,0.752,2.3029,5.1171
222,7.618,2.354,2.962,pose,2.435,1.984,3.117,0.784,2.3097,5.1132
223,7.653,2.883,2.883,bbox,2.435,1.984,3.117,0.784,2.2874,5.1061
224,7.687,2.862,2.883,bbox,2.435,2.019,3.117,0.784,2.2846,5.1044
225,7.721,2.352,2.862,pose,2.435,2.019,3.117,0.784,2.2797,5.0969
226,7.756,2.839,2.839,bbox,2.435,2.019,3.117,0.784,2.3002,5.0988
227,7.79,2.831,2.839,bbox,2.435,2.019,3.117,0.784,2.3282,5.1065
228,7.824,2.169,2.831,pose,2.435,2.019,3.117,0.784,2.3773,5.1156
229,7.859,2.744,2.744,bbox,2.47,2.019,3.117,0.784,2.4796,5.164
230,7.893,2.718,2.744,bbox,2.519,2.019,3.117,0.784,2.5544,5.1858
231,7.927,2.745,2.744,bbox,2.621,2.019,3.117,0.847,2.5703,5.2017
232,7.962,2.756,2.744,bbox,2.696,2.019,3.117,0.847,2.5726,5.2089
233,7.996,2.759,2.745,bbox,2.696,2.019,3.117,0.885,2.574,5.2382
234,8.03,2.207,2.745,pose,2.696,2.019,3.117,0.885,2.5699,5.2529
235,8.065,2.745,2.745,bbox,2.696,2.019,3.117,0.921,2.5633,5.311
236,8.099,2.752,2.752,bbox,2.696,2.019,3.117,0.921,2.5496,5.354
237,8.133,2.139,2.745,pose,2.696,2.019,3.117,0.994,2.5034,5.3924
238,8.167,2.932,2.745,bbox,2.696,2.019,3.117,1.037,2.4682,5.5249
239,8.202,3.148,2.752,bbox,2.696,2.07,3.117,1.075,2.4418,5.6561
240,8.236,2.541,2.752,pose,2.696,2.106,3.117,1.208,2.4111,5.734
241,8.27,3.36,2.932,bbox,2.696,2.106,3.117,1.339,2.3852,5.7796
242,8.305,3.426,3.148,bbox,2.696,2.163,3.117,1.417,2.3763,5.8076
243,8.339,2.756,3.148,pose,2.696,2.163,3.117,1.462,2.3706,5.8373
244,8.373,3.579,3.36,bbox,2.696,2.197,3.117,1.462,2.3627,5.8408
245,8.408,3.555,3.426,bbox,2.696,2.197,3.117,1.498,2.3567,5.8153
246,8.442,2.779,3.426,pose,2.696,2.197,3.117,1.498,2.3597,5.8281
247,8.476,3.44,3.44,bbox,2.696,2.197,3.117,1.498,2.3703,5.8349
248,8.511,3.337,3.44,bbox,2.696,2.197,3.117,1.498,2.3877,5.8505
249,8.545,2.5,3.337,pose,2.696,2.197,3.117,1.498,2.4165,5.8565
250,8.579,3.116,3.116,bbox,2.696,2.197,3.117,1.498,2.4489,5.8432
251,8.614,3.09,3.116,bbox,2.736,2.197,3.117,1.528,2.4695,5.8454
252,8.648,2.466,3.09,pose,2.769,2.197,3.117,1.528,2.494,5.815
253,8.682,2.963,2.963,bbox,2.769,2.197,3.117,1.528,2.5286,5.7638
254,8.717,2.906,2.963,bbox,2.814,2.197,3.148,1.528,2.5627,5.7301
255,8.751,2.463,2.906,pose,2.848,2.197,3.199,1.528,2.5825,5.7238
256,8.785,2.922,2.906,bbox,2.883,2.197,3.232,1.528,2.6035,5.6913
257,8.819,2.953,2.922,bbox,2.883,2.197,3.232,1.528,2.597,5.6958
258,8.854,2.383,2.906,pose,2.917,2.197,3.232,1.528,2.6264,5.7226
259,8.888,2.918,2.918,bbox,2.917,2.197,3.232,1.528,2.6727,5.7048
260,8.922,2.909,2.918,bbox,2.917,2.197,3.232,1.528,2.6851,5.7403
261,8.957,2.159,2.909,pose,2.992,2.197,3.232,1.528,2.7651,5.8327
262,8.991,2.903,2.903,bbox,2.992,2.197,3.232,1.528,2.804,5.889
263,9.025,2.901,2.903,bbox,3.085,2.197,3.232,1.631,2.8175,5.8951
264,9.06,2.162,2.901,pose,3.124,2.197,3.232,1.687,2.8349,5.911
265,9.094,2.924,2.901,bbox,3.124,2.197,3.232,1.687,2.8604,5.9551
