frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m
2412,82.773,0.585,1.052,pose,27.665,22.339,30.846,23.229,3.2391,4.0451
2413,82.807,1.047,1.047,bbox,27.665,22.339,30.846,23.229,3.2347,4.0581
2414,82.841,1.017,1.047,bbox,27.665,22.339,30.846,23.229,3.257,4.0649
2415,82.876,0.591,1.017,pose,27.665,22.339,30.846,23.229,3.2609,4.0664
2416,82.91,0.928,0.928,bbox,27.665,22.339,30.846,23.229,3.3435,4.074
2417,82.944,0.772,0.928,bbox,27.665,22.339,30.846,23.229,3.465,4.0666
2418,82.979,0.841,0.841,pose,27.746,22.339,30.846,23.229,3.4452,4.0682
2419,83.013,0.754,0.772,bbox,27.848,22.339,30.846,23.229,3.4591,4.0329
2420,83.047,0.803,0.803,bbox,27.848,22.339,30.846,23.229,3.405,4.0114
2421,83.082,0.666,0.772,pose,27.848,22.339,30.846,23.229,3.3825,3.9975
2422,83.116,0.792,0.792,bbox,27.848,22.38,30.89,23.229,3.4046,4.0159
2423,83.15,0.738,0.754,bbox,27.848,22.38,30.89,23.229,3.4422,4.016
2424,83.185,0.627,0.738,pose,27.848,22.38,30.89,23.229,3.4414,3.9899
2425,83.219,0.617,0.666,bbox,27.884,22.38,30.89,23.229,3.4481,3.9335
2426,83.253,0.569,0.627,bbox,27.884,22.38,30.89,23.229,3.4494,3.9091
2427,83.288,0.741,0.627,pose,27.884,22.38,30.973,23.229,3.5243,3.9102
2428,83.322,0.48,0.617,bbox,27.884,22.38,30.973,23.229,3.5358,3.9266
2429,83.356,0.41,0.569,bbox,27.965,22.38,30.973,23.229,3.5223,3.8588
2430,83.391,0.48,0.48,bbox,27.965,22.38,30.973,23.229,3.5205,3.9168
2431,83.425,0.54,0.48,bbox,27.965,22.38,30.973,23.229,3.528,3.9664
2432,83.459,0.59,0.48,bbox,27.965,22.38,30.973,23.229,3.532,4.0028
2433,83.493,0.615,0.54,bbox,27.965,22.38,30.973,23.262,3.5168,4.0031
2434,83.528,0.615,0.59,bbox,27.965,22.38,30.973,23.299,3.5096,4.0035
2435,83.562,0.604,0.604,bbox,27.965,22.38,30.973,23.299,3.5104,4.0026
2436,83.596,0.606,0.606,bbox,27.965,22.38,30.973,23.299,3.5345,4.007
2437,83.631,0.616,0.615,bbox,27.965,22.38,30.973,23.299,3.5443,4.0093
2438,83.665,0.604,0.606,bbox,27.965,22.38,30.973,23.299,3.5411,3.9986
2439,83.699,0.58,0.604,bbox,27.965,22.38,30.973,23.299,3.5315,3.9958
2440,83.734,0.604,0.604,bbox,27.965,22.38,30.973,23.299,3.5188,3.9982
2441,83.768,0.599,0.604,bbox,27.965,22.38,30.973,23.299,3.5119,3.9908
2442,83.802,0.594,0.599,bbox,27.965,22.38,30.973,23.299,3.5114,3.9842
2443,83.837,0.59,0.594,bbox,27.965,22.38,30.973,23.299,3.511,3.9846
2444,83.871,0.58,0.594,bbox,27.965,22.38,30.973,23.299,3.5102,3.9819
2445,83.905,0.593,0.593,bbox,27.965,22.38,30.973,23.299,3.4908,3.9663
2446,83.94,0.593,0.593,bbox,27.965,22.38,30.973,23.299,3.4789,3.9511
2447,83.974,0.588,0.59,bbox,27.965,22.411,31.009,23.299,3.4724,3.9464
2448,84.008,0.038,0.588,pose,27.965,22.411,31.009,23.299,3.4477,3.9295
2449,84.043,0.587,0.588,bbox,27.965,22.411,31.009,23.299,3.4412,3.9196
2450,84.077,0.589,0.588,bbox,27.965,22.454,31.046,23.299,3.4293,3.9157
2451,84.111,0.584,0.587,bbox,27.965,22.454,31.046,23.299,3.4152,3.9038
2452,84.146,0.596,0.587,bbox,27.965,22.454,31.046,23.299,3.403,3.9034
2453,84.18,0.613,0.589,bbox,27.965,22.487,31.046,23.299,3.3966,3.9058
2454,84.214,0.631,0.596,bbox,27.965,22.487,31.046,23.299,3.3915,3.9153
2455,84.248,0.629,0.613,bbox,27.965,22.487,31.046,23.299,3.3964,3.9212
2456,84.283,0.62,0.62,bbox,27.965,22.487,31.046,23.299,3.3917,3.9073
2457,84.317,0.16,0.62,pose,27.965,22.487,31.046,23.299,3.3843,3.9056
2458,84.351,0.629,0.629,bbox,27.965,22.487,31.046,23.299,3.3693,3.9018
2459,84.386,0.661,0.629,bbox,27.965,22.517,31.046,23.299,3.3461,3.9078
2460,84.42,0.613,0.62,pose,27.965,22.517,31.046,23.299,3.3377,3.9097
2461,84.454,0.699,0.629,bbox,27.965,22.556,31.046,23.299,3.3261,3.9074
2462,84.489,0.715,0.661,bbox,27.965,22.556,31.046,23.299,3.2656,3.8553
2463,84.523,0.717,0.699,bbox,27.965,22.556,31.046,23.299,3.1757,3.75
2464,84.557,0.712,0.712,bbox,27.965,22.636,31.12,23.299,2.973,3.5278
2465,84.592,0.767,0.715,bbox,27.965,22.726,31.226,23.299,2.7579,3.3483
2466,84.626,0.849,0.717,bbox,27.965,22.876,31.376,23.299,2.5611,3.2039
2467,84.66,0.914,0.767,bbox,27.965,23.026,31.526,23.299,2.4049,3.1394
2468,84.695,0.959,0.849,bbox,27.965,23.176,31.67,23.299,2.28,3.065
2469,84.729,1.07,0.914,bbox,27.965,23.326,31.735,23.299,2.1316,2.9666
2470,84.763,1.104,0.959,bbox,27.965,23.451,31.809,23.299,1.9472,2.8136
2471,84.798,1.149,1.07,bbox,27.965,23.599,31.907,23.299,1.7505,2.6675
2472,84.832,1.239,1.104,bbox,27.965,23.749,32.057,23.299,1.5295,2.5295
2473,84.866,1.227,1.149,bbox,27.965,23.899,32.203,23.299,1.356,2.3687
2474,84.9,1.315,1.227,bbox,27.965,24.049,32.341,23.299,1.1594,2.2718
2475,84.935,1.181,1.227,bbox,27.965,24.199,32.491,23.299,1.0263,2.142
2476,84.969,1.24,1.239,bbox,27.965,24.349,32.588,23.299,0.8549,2.045
2477,85.003,1.355,1.24,bbox,27.965,24.483,32.718,23.299,0.753,1.9898
2478,85.038,1.382,1.315,bbox,27.965,24.633,32.815,23.299,0.6533,1.9541
2479,85.072,1.394,1.355,bbox,27.965,24.734,32.87,23.299,0.5508,1.9018
2480,85.106,1.406,1.382,bbox,27.965,24.834,32.906,23.299,0.4406,1.8233
2481,85.141,1.426,1.394,bbox,27.965,24.937,32.958,23.299,0.361,1.7651
2482,85.175,1.446,1.406,bbox,27.965,25.047,33.037,23.299,0.3209,1.7279
2483,85.209,1.391,1.406,bbox,27.965,25.126,33.095,23.299,0.302,1.7069
2484,85.244,1.423,1.423,bbox,27.965,25.167,33.132,23.299,0.2735,1.7137
2485,85.278,1.373,1.423,bbox,27.965,25.167,33.132,23.299,0.2581,1.6354
2486,85.312,1.373,1.391,bbox,27.965,25.214,33.132,23.299,0.2616,1.6326
2487,85.347,1.419,1.391,bbox,27.965,25.214,33.132,23.299,0.2646,1.7056
2488,85.381,1.458,1.419,bbox,27.965,25.214,33.132,23.299,0.2736,1.7555
2489,85.415,1.492,1.419,bbox,27.965,25.214,33.132,23.299,0.2821,1.8286
2490,85.45,1.541,1.458,bbox,27.965,25.214,33.132,23.299,0.281,1.8729
2491,85.484,,,,27.965,25.214,33.132,23.299,,
2492,85.518,,,,27.965,25.214,33.132,23.299,,
2493,85.553,,,,27.965,25.214,33.132,23.299,,
2494,85.587,3.842,1.492,bbox,27.965,25.214,33.132,23.399,2.5724,7.1781
2495,85.621,3.823,1.541,bbox,27.965,25.214,33.132,23.444,2.588,7.1633
2496,85.655,3.81,3.81,pose,28.123,25.214,33.132,23.594,2.5919,7.1391
2497,85.69,3.805,3.81,bbox,28.123,25.214,33.132,23.594,2.6064,7.1461
2498,85.724,3.775,3.81,bbox,28.123,25.214,33.132,23.594,2.6349,7.1526
2499,85.758,3.58,3.805,pose,28.158,25.214,33.132,23.594,2.6543,7.1503
2500,85.793,3.704,3.775,bbox,28.158,25.214,33.132,23.594,2.7128,7.1483
2501,85.827,3.659,3.704,bbox,28.205,25.214,33.132,23.594,2.7657,7.1032
2502,85.861,3.145,3.659,pose,28.264,25.214,33.132,23.594,2.7687,7.0693
2503,85.896,3.636,3.636,bbox,28.317,25.214,33.168,23.594,2.7739,7.0244
2504,85.93,3.654,3.654,bbox,28.317,25.214,33.202,23.594,2.7739,7.0288
2505,85.964,3.01,3.636,pose,28.317,25.214,33.242,23.594,2.7814,7.0248
2506,85.999,3.667,3.636,bbox,28.317,25.214,33.242,23.594,2.7963,7.0297
2507,86.033,3.691,3.654,bbox,28.317,25.214,33.242,23.594,2.8077,7.0216
2508,86.067,3.625,3.654,bbox,28.347,25.214,33.242,23.594,2.8399,7.0168
2509,86.102,3.59,3.625,bbox,28.347,25.214,33.242,23.594,2.8751,7.0093
2510,86.136,3.546,3.625,bbox,28.391,25.214,33.242,23.594,2.909,6.9999
2511,86.17,3.475,3.59,bbox,28.426,25.214,33.242,23.594,2.9538,6.9745
2512,86.205,3.381,3.546,bbox,28.46,25.214,33.242,23.594,3.0045,6.938
2513,86.239,3.208,3.475,bbox,28.505,25.214,33.297,23.594,3.0881,6.8487
2514,86.273,3.167,3.381,bbox,28.556,25.214,33.333,23.594,3.0883,6.8325
2515,86.307,3.158,3.208,bbox,28.639,25.214,33.42,23.594,3.1157,6.851
2516,86.342,3.085,3.167,bbox,28.639,25.214,33.42,23.594,3.1608,6.8
2517,86.376,3.124,3.158,bbox,28.639,25.214,33.42,23.594,3.1701,6.7878
2518,86.41,3.101,3.124,bbox,28.712,25.214,33.471,23.594,3.1838,6.7532
2519,86.445,3.097,3.101,bbox,28.712,25.214,33.471,23.594,3.2254,6.7417
2520,86.479,2.402,3.097,pose,28.712,25.214,33.518,23.594,3.3356,6.7006
2521,86.513,2.95,3.097,bbox,28.776,25.214,33.518,23.594,3.3954,6.6959
2522,86.548,2.929,2.95,bbox,28.887,25.214,33.571,23.594,3.4378,6.6933
2523,86.582,2.297,2.929,pose,28.947,25.214,33.571,23.594,3.4474,6.7014
2524,86.616,2.927,2.927,bbox,28.989,25.214,33.571,23.594,3.4581,6.7108
2525,86.651,2.916,2.927,bbox,28.989,25.214,33.571,23.594,3.4829,6.7288
2526,86.685,2.197,2.916,pose,28.989,25.214,33.571,23.594,3.4973,6.7252
2527,86.719,2.922,2.916,bbox,29.034,25.214,33.571,23.594,3.5228,6.7696
2528,86.754,2.841,2.916,bbox,29.034,25.214,33.571,23.594,3.5303,6.6857
2529,86.788,2.14,2.841,pose,29.074,25.214,33.571,23.594,3.5233,6.6569
2530,86.822,2.855,2.841,bbox,29.074,25.214,33.571,23.594,3.5242,6.6585
2531,86.857,2.875,2.855,bbox,29.074,25.214,33.609,23.594,3.5432,6.6621
2532,86.891,2.257,2.841,pose,29.074,25.214,33.609,23.594,3.5692,6.6805
2533,86.925,2.895,2.855,bbox,29.074,25.214,33.609,23.594,3.6092,6.6986
2534,86.96,2.883,2.875,bbox,29.12,25.214,33.609,23.594,3.6181,6.6982
2535,86.994,2.262,2.875,pose,29.16,25.214,33.609,23.63,3.6412,6.7789
2536,87.028,2.862,2.862,bbox,29.16,25.214,33.609,23.63,3.6343,6.7355
2537,87.062,2.884,2.883,bbox,29.16,25.214,33.609,23.667,3.6276,6.777
2538,87.097,2.237,2.862,pose,29.16,25.214,33.609,23.709,3.6384,6.8099
2539,87.131,2.94,2.862,bbox,29.16,25.214,33.609,23.709,3.6417,6.8432
2540,87.165,3.017,2.884,bbox,29.16,25.214,33.609,23.742,3.6482,6.8958
2541,87.2,2.412,2.884,pose,29.193,25.214,33.609,23.775,3.6597,6.9305
2542,87.234,3.094,2.94,bbox,29.193,25.214,33.609,23.827,3.6577,6.937
2543,87.268,3.156,3.017,bbox,29.193,25.214,33.609,23.862,3.6517,6.9487
2544,87.303,2.535,3.017,pose,29.193,25.214,33.609,23.862,3.657,6.9678
2545,87.337,3.23,3.094,bbox,29.193,25.214,33.609,23.862,3.6665,6.9906
2546,87.371,3.234,3.156,bbox,29.193,25.214,33.609,23.899,3.655,7.0031
2547,87.406,2.503,3.156,pose,29.193,25.214,33.609,23.899,3.6168,7.0146
2548,87.44,3.249,3.23,bbox,29.193,25.214,33.609,23.935,3.5825,7.0335
2549,87.474,3.244,3.234,bbox,29.193,25.214,33.609,23.935,3.5663,7.0264
2550,87.509,2.413,3.234,pose,29.193,25.273,33.609,23.935,3.545,6.9703
2551,87.543,3.164,3.164,bbox,29.193,25.273,33.609,23.935,3.5226,6.9504
2552,87.577,3.152,3.164,bbox,29.193,25.311,33.642,23.935,3.5182,6.9178
2553,87.612,2.452,3.152,pose,29.193,25.311,33.642,23.935,3.4899,6.8851
2554,87.646,3.253,3.152,bbox,29.193,25.311,33.694,23.935,3.4571,6.9165
2555,87.68,3.255,3.164,bbox,29.193,25.366,33.694,23.935,3.4252,6.8412
2556,87.714,2.545,3.152,pose,29.193,25.399,33.727,23.935,3.389,6.8504
2557,87.749,3.398,3.253,bbox,29.193,25.43,33.762,23.935,3.3772,6.8294
2558,87.783,3.412,3.255,bbox,29.193,25.467,33.762,23.935,3.3715,6.8215
2559,87.817,2.521,3.255,pose,29.193,25.467,33.762,23.935,3.3733,6.8099
2560,87.852,3.339,3.339,bbox,29.193,25.467,33.762,23.935,3.376,6.7926
2561,87.886,3.279,3.339,bbox,29.193,25.467,33.802,23.935,3.3485,6.7229
2562,87.92,2.177,3.279,pose,29.193,25.467,33.802,23.935,3.334,6.6403
2563,87.955,3.147,3.147,bbox,29.193,25.507,33.889,23.935,3.3214,6.5703
2564,87.989,3.084,3.147,bbox,29.193,25.507,33.972,23.935,3.3247,6.4981
2565,88.023,1.929,3.084,pose,29.193,25.507,34.042,23.935,3.3232,6.4527
2566,88.058,3.108,3.084,bbox,29.193,25.507,34.114,23.935,3.3162,6.3841
2567,88.092,2.978,3.084,bbox,29.193,25.507,34.16,23.935,3.3402,6.2311
2568,88.126,1.88,2.978,pose,29.193,25.507,34.228,23.935,3.3695,6.1416
2569,88.161,2.842,2.842,bbox,29.193,25.507,34.378,23.935,3.3655,6.0519
2570,88.195,2.794,2.842,bbox,29.193,25.507,34.468,23.935,3.3228,6.0039
2571,88.229,1.8,2.794,pose,29.193,25.507,34.557,23.935,3.2746,5.9772
2572,88.264,2.743,2.743,bbox,29.193,25.507,34.605,23.935,3.2577,5.9351
2573,88.298,2.687,2.743,bbox,29.193,25.581,34.605,23.935,3.2173,5.846
2574,88.332,2.041,2.687,pose,29.193,25.581,34.674,23.935,3.184,5.8364
2575,88.367,2.829,2.687,bbox,29.193,25.638,34.674,23.935,3.158,5.9928
2576,88.401,2.585,2.687,bbox,29.193,25.672,34.763,23.935,3.1356,5.7364
2577,88.435,2.144,2.585,pose,29.193,25.672,34.763,23.935,3.1339,5.696
2578,88.469,2.563,2.563,bbox,29.193,25.719,34.873,23.935,3.1364,5.6407
2579,88.504,2.743,2.585,bbox,29.193,25.719,34.873,23.935,3.1466,5.8212
2580,88.538,2.215,2.563,pose,29.193,25.719,34.873,23.935,3.1685,5.7867
2581,88.572,2.586,2.563,bbox,29.193,25.719,34.903,23.935,3.1863,5.7059
2582,88.607,2.48,2.563,bbox,29.225,25.719,34.903,23.935,3.2125,5.6546
2583,88.641,2.169,2.48,pose,29.225,25.719,34.903,23.935,3.2527,5.6451
2584,88.675,2.45,2.45,bbox,29.269,25.719,34.903,23.935,3.315,5.7378
2585,88.71,2.345,2.45,bbox,29.309,25.719,34.903,23.935,3.3978,5.7114
2586,88.744,2.263,2.345,bbox,29.371,25.719,34.903,23.935,3.5567,5.7534
2587,88.778,2.202,2.263,bbox,29.454,25.719,34.903,23.967,3.6596,5.803
2588,88.813,2.173,2.263,bbox,29.604,25.719,34.903,23.967,3.7424,5.8935
2589,88.847,2.178,2.202,bbox,29.707,25.719,34.903,24.032,3.7891,5.9679
2590,88.881,2.391,2.202,bbox,29.737,25.719,34.903,24.122,3.6898,6.0967
2591,88.916,2.258,2.202,bbox,29.79,25.719,34.903,24.197,3.947,6.2107
2592,88.95,2.237,2.237,bbox,29.837,25.719,34.903,24.326,4.0649,6.3006
2593,88.984,2.328,2.258,bbox,29.987,25.719,34.903,24.44,4.1366,6.4416
2594,89.019,2.193,2.258,bbox,30.104,25.719,34.903,24.53,4.2807,6.5124
2595,89.053,1.854,2.237,pose,30.176,25.719,34.903,24.67,4.4037,6.5506
2596,89.087,2.075,2.193,bbox,30.32,25.719,34.903,24.741,4.4971,6.5555
2597,89.121,2.023,2.075,bbox,30.443,25.719,34.903,24.78,4.6,6.5858
2598,89.156,1.957,2.023,bbox,30.537,25.719,34.903,24.78,4.6784,6.5925
2599,89.19,1.801,1.957,bbox,30.64,25.719,34.903,24.815,4.8514,6.6078
2600,89.224,1.733,1.957,bbox,30.718,25.719,34.903,24.815,4.8995,6.597
2601,89.259,1.646,1.801,bbox,30.868,25.719,34.903,24.815,5.0076,6.6226
2602,89.293,1.581,1.733,bbox,30.916,25.719,34.903,24.815,5.0553,6.6284
2603,89.327,1.53,1.646,bbox,31.024,25.719,34.903,24.852,5.1381,6.6968
2604,89.362,1.989,1.646,pose,31.072,25.719,34.903,24.852,5.2114,6.7778
2605,89.396,1.452,1.581,bbox,31.155,25.719,34.903,24.926,5.3256,6.8464
2606,89.43,1.257,1.53,bbox,31.228,25.719,34.903,25.007,5.5592,6.8926
2607,89.465,0.506,1.452,pose,31.342,25.719,34.903,25.075,5.5851,6.9762
2608,89.499,1.344,1.344,bbox,31.492,25.719,34.903,25.122,5.596,7.0652
2609,89.533,1.377,1.344,bbox,31.492,25.719,34.903,25.205,5.5812,7.1089
2610,89.568,0.697,1.257,pose,31.492,25.719,34.903,25.294,5.5941,7.19
2611,89.602,1.472,1.344,bbox,31.492,25.719,34.903,25.338,5.5871,7.2881
2612,89.636,1.518,1.377,bbox,31.492,25.719,34.903,25.419,5.5402,7.35
2613,89.671,0.976,1.377,pose,31.492,25.719,34.903,25.517,5.5065,7.3779
2614,89.705,1.602,1.472,bbox,31.492,25.719,34.903,25.579,5.5101,7.4345
2615,89.739,1.639,1.518,bbox,31.492,25.764,34.903,25.579,5.5144,7.4923
2616,89.774,1.218,1.518,pose,31.492,25.764,34.903,25.663,5.5081,7.4891
2617,89.808,1.643,1.602,bbox,31.492,25.764,34.903,25.718,5.4884,7.5082
2618,89.842,1.645,1.639,bbox,31.492,25.764,34.903,25.718,5.4765,7.5068
2619,89.876,1.371,1.639,pose,31.492,25.764,34.903,25.718,5.4849,7.519
2620,89.911,1.64,1.64,bbox,31.492,25.764,34.903,25.718,5.4879,7.5252
2621,89.945,1.635,1.64,bbox,31.492,25.764,34.903,25.718,5.5028,7.5367
2622,89.979,1.384,1.635,pose,31.492,25.764,34.903,25.754,5.5042,7.5476
2623,90.014,1.643,1.635,bbox,31.492,25.764,34.903,25.754,5.4987,7.5516
2624,90.048,1.665,1.64,bbox,31.492,25.764,34.903,25.754,5.4858,7.5661
2625,90.082,1.548,1.635,pose,31.492,25.764,34.903,25.754,5.47,7.592
2626,90.117,1.716,1.643,bbox,31.492,25.764,34.903,25.795,5.4772,7.6489
2627,90.151,1.757,1.665,bbox,31.492,25.801,34.903,25.795,5.4613,7.6959
2628,90.185,1.722,1.716,pose,31.492,25.801,34.903,25.878,5.4373,7.7321
2629,90.22,1.851,1.722,bbox,31.492,25.801,34.903,25.925,5.3839,7.7563
2630,90.254,,,,31.492,25.801,34.903,25.925,,
2631,90.288,,,,31.492,25.801,34.903,25.925,,
2632,90.323,,,,31.492,25.801,34.903,25.925,,
2633,90.357,5.02,1.757,bbox,31.492,25.841,34.903,25.925,1.8239,7.6142
2634,90.391,4.849,1.851,pose,31.492,25.895,34.903,25.925,1.8203,7.5709
2635,90.426,4.951,4.849,bbox,31.492,26.045,34.985,25.925,1.8202,7.5475
2636,90.46,4.889,4.889,bbox,31.492,26.045,35.028,25.925,1.8273,7.5246
2637,90.494,4.795,4.889,pose,31.492,26.045,35.028,25.925,1.8291,7.5058
2638,90.528,4.801,4.849,bbox,31.492,26.045,35.075,25.925,1.8397,7.487
2639,90.563,4.764,4.801,bbox,31.492,26.045,35.075,25.925,1.8495,7.4955
2640,90.597,4.723,4.795,pose,31.492,26.045,35.075,25.925,1.8606,7.526
2641,90.631,4.763,4.764,bbox,31.492,26.045,35.075,25.925,1.87,7.5419
2642,90.666,4.78,4.764,bbox,31.527,26.045,35.075,25.925,1.8588,7.5487
2643,90.7,4.642,4.763,pose,31.527,26.045,35.075,25.925,1.8518,7.5528
2644,90.734,4.751,4.751,bbox,31.527,26.045,35.075,25.925,1.8546,7.5601
2645,90.769,4.72,4.751,bbox,31.527,26.045,35.075,25.925,1.8656,7.5745
2646,90.803,4.704,4.72,bbox,31.527,26.045,35.075,25.96,1.8662,7.5754
2647,90.837,4.685,4.704,bbox,31.527,26.045,35.075,25.96,1.8696,7.574
2648,90.872,4.678,4.704,bbox,31.527,26.045,35.075,25.96,1.8716,7.5765
2649,90.906,4.798,4.704,pose,31.527,26.045,35.075,25.96,1.8833,7.5803
2650,90.94,4.631,4.685,bbox,31.527,26.045,35.075,25.96,1.8886,7.5858
2651,90.975,4.601,4.678,bbox,31.527,26.045,35.075,25.96,1.9037,7.5986
2652,91.009,4.678,4.678,pose,31.527,26.045,35.075,25.96,1.9248,7.6142
2653,91.043,4.564,4.631,bbox,31.572,26.045,35.075,25.999,1.9423,7.6208
2654,91.078,4.554,4.601,bbox,31.572,26.045,35.075,25.999,1.9383,7.6088
2655,91.112,4.45,4.564,pose,31.604,26.045,35.075,25.999,1.936,7.5986
2656,91.146,4.535,4.554,bbox,31.604,26.045,35.075,25.999,1.9467,7.6112
2657,91.181,4.511,4.535,bbox,31.604,26.045,35.075,25.999,1.9518,7.5998
2658,91.215,4.269,4.511,pose,31.604,26.045,35.075,25.999,1.9618,7.5902
2659,91.249,4.476,4.476,bbox,31.604,26.045,35.075,25.999,1.9526,7.5908
2660,91.283,4.458,4.476,bbox,31.604,26.045,35.075,25.999,1.9585,7.5849
2661,91.318,4.117,4.458,pose,31.604,26.045,35.075,25.999,1.9638,7.616
2662,91.352,4.489,4.458,bbox,31.604,26.045,35.075,25.999,1.9545,7.615
2663,91.386,4.479,4.476,bbox,31.604,26.045,35.075,25.999,1.9629,7.5956
2664,91.421,4.146,4.458,pose,31.604,26.045,35.075,25.999,1.9749,7.5955
2665,91.455,4.451,4.451,bbox,31.604,26.045,35.075,25.999,2.0016,7.5895
2666,91.489,4.429,4.451,bbox,31.643,26.045,35.075,25.999,2.0133,7.579
2667,91.524,4.168,4.429,pose,31.643,26.045,35.075,25.999,2.0231,7.5769
2668,91.558,4.428,4.428,bbox,31.682,26.045,35.075,25.999,2.02,7.5466
2669,91.592,4.4,4.428,bbox,31.682,26.045,35.075,25.999,2.0236,7.5138
2670,91.627,4.204,4.4,pose,31.682,26.045,35.127,25.999,2.0402,7.4928
2671,91.661,4.323,4.323,bbox,31.682,26.045,35.159,25.999,2.0549,7.4839
2672,91.695,4.301,4.323,bbox,31.682,26.045,35.159,25.999,2.0932,7.4949
2673,91.73,4.09,4.301,pose,31.723,26.045,35.159,25.999,2.1237,7.4944
2674,91.764,4.266,4.266,bbox,31.761,26.045,35.159,25.999,2.1367,7.5103
2675,91.798,4.235,4.266,bbox,31.792,26.045,35.159,25.999,2.1571,7.4823
2676,91.833,4.269,4.266,bbox,31.792,26.045,35.159,25.999,2.1536,7.4535
2677,91.867,4.199,4.235,bbox,31.792,26.045,35.191,25.999,2.1549,7.3975
2678,91.901,4.153,4.235,bbox,31.823,26.045,35.191,25.999,2.1645,7.3036
2679,91.935,3.647,4.199,pose,31.823,26.045,35.276,25.999,2.1765,7.2709
2680,91.97,4.134,4.153,bbox,31.823,26.045,35.37,25.999,2.2005,7.2223
2681,92.004,4.052,4.134,bbox,31.823,26.045,35.402,25.999,2.2289,7.1304
2682,92.038,3.956,4.052,bbox,31.869,26.045,35.451,25.999,2.366,7.1051
2683,92.073,3.893,3.956,bbox,31.869,26.045,35.529,25.999,2.4542,7.1446
2684,92.107,3.892,3.956,bbox,32.034,26.045,35.529,25.999,2.5303,7.2103
2685,92.141,3.395,3.893,pose,32.122,26.045,35.529,25.999,2.568,7.2543
2686,92.176,3.929,3.893,bbox,32.199,26.045,35.529,26.065,2.5817,7.2648
2687,92.21,3.899,3.893,bbox,32.236,26.045,35.529,26.065,2.576,7.2296
2688,92.244,3.275,3.892,pose,32.236,26.045,35.529,26.065,2.5658,7.2086
2689,92.279,3.894,3.894,bbox,32.236,26.045,35.529,26.065,2.5744,7.1952
2690,92.313,3.836,3.894,bbox,32.236,26.045,35.529,26.065,2.6244,7.1685
2691,92.347,3.759,3.836,bbox,32.236,26.045,35.529,26.065,2.6557,7.1074
2692,92.382,3.702,3.759,bbox,32.293,26.045,35.571,26.065,2.687,7.0542
2693,92.416,3.584,3.759,bbox,32.324,26.045,35.632,26.065,2.7258,6.9804
2694,92.45,3.484,3.702,bbox,32.355,26.045,35.685,26.065,2.7679,6.9076
2695,92.485,3.376,3.584,bbox,32.394,26.045,35.759,26.065,2.8127,6.8428
2696,92.519,3.329,3.484,bbox,32.436,26.045,35.831,26.065,2.8392,6.7998
2697,92.553,3.3,3.376,bbox,32.481,26.045,35.896,26.065,2.8546,6.773
2698,92.588,3.268,3.329,bbox,32.481,26.045,35.939,26.065,2.8968,6.774
2699,92.622,3.256,3.3,bbox,32.523,26.045,35.939,26.065,2.93,6.7674
2700,92.656,2.973,3.268,pose,32.565,26.045,35.939,26.065,2.9549,6.7607
2701,92.69,3.294,3.268,bbox,32.598,26.045,35.972,26.065,2.9569,6.756
2702,92.725,3.234,3.256,bbox,32.598,26.045,35.972,26.065,2.9789,6.7733
2703,92.759,2.729,3.234,pose,32.598,26.045,35.972,26.065,3.0369,6.7738
2704,92.793,3.149,3.149,bbox,32.647,26.045,35.972,26.065,3.1454,6.793
2705,92.828,3.136,3.149,bbox,32.705,26.045,35.972,26.065,3.1735,6.8011
2706,92.862,2.529,3.136,pose,32.814,26.045,35.972,26.065,3.205,6.8191
2707,92.896,3.099,3.099,bbox,32.814,26.045,35.972,26.098,3.2323,6.8286
2708,92.931,3.072,3.099,bbox,32.873,26.045,35.972,26.098,3.2563,6.8327
2709,92.965,2.393,3.072,pose,32.873,26.045,35.972,26.098,3.2735,6.829
2710,92.999,3.031,3.031,bbox,32.925,26.045,35.972,26.098,3.2733,6.816
2711,93.034,2.977,3.031,bbox,32.925,26.045,35.972,26.098,3.3248,6.7966
2712,93.068,2.355,2.977,pose,32.925,26.045,35.972,26.098,3.3451,6.7815
2713,93.102,2.984,2.977,bbox,32.993,26.045,35.972,26.098,3.3607,6.7817
2714,93.137,2.972,2.977,bbox,32.993,26.045,35.972,26.098,3.4021,6.7693
2715,93.171,2.399,2.972,pose,33.029,26.045,35.972,26.098,3.4224,6.7646
2716,93.205,2.94,2.94,bbox,33.07,26.045,35.972,26.098,3.451,6.7761
2717,93.24,2.929,2.94,bbox,33.07,26.045,35.972,26.098,3.4814,6.7983
2718,93.274,2.379,2.929,pose,33.119,26.045,35.972,26.098,3.4876,6.8402
2719,93.308,2.913,2.913,bbox,33.15,26.045,35.972,26.098,3.4988,6.8424
2720,93.342,2.922,2.922,bbox,33.15,26.045,35.972,26.137,3.4957,6.8505
2721,93.377,2.382,2.913,pose,33.15,26.045,35.972,26.137,3.5032,6.8707
2722,93.411,2.978,2.913,bbox,33.15,26.045,35.972,26.137,3.4931,6.9041
2723,93.445,3.017,2.922,bbox,33.15,26.045,35.972,26.168,3.483,6.9367
2724,93.48,2.446,2.922,pose,33.15,26.045,35.972,26.201,3.4603,6.9337
2725,93.514,3.111,2.978,bbox,33.15,26.045,35.972,26.201,3.4338,6.9387
