frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
143,4.767,4.225,4.321,bbox,0.77,0.298,0.762,0.0,3.6995,7.8875,,,,
144,4.8,1.562,4.258,pose,0.77,0.298,0.762,0.0,3.7244,7.8914,0.7226,0.4629,0.5869,-0.5125
145,4.833,4.212,4.225,bbox,0.801,0.298,0.762,0.0,3.7112,7.8865,,,,
146,4.867,4.207,4.212,bbox,0.801,0.298,0.762,0.0,3.7246,7.8889,,,,
147,4.9,3.397,4.207,pose,0.801,0.298,0.762,0.0,3.7639,7.8931,0.4158,0.1192,0.6765,0.1572
148,4.933,,,,0.801,0.298,0.762,0.0,,,,,,
149,4.967,,,,0.801,0.298,0.762,0.0,,,,,,
150,5.0,,,,0.801,0.298,0.762,0.0,,,,,,
151,5.033,,,,0.801,0.298,0.762,0.0,,,,,,
152,5.067,,,,0.801,0.298,0.762,0.0,,,,,,
153,5.1,,,,0.801,0.298,0.762,0.0,,,,,,
154,5.133,4.234,4.207,bbox,0.801,0.298,0.762,0.0,3.7906,7.9842,,,,
155,5.167,4.228,4.212,bbox,0.865,0.298,0.762,0.0,3.8119,8.0118,,,,
156,5.2,4.119,4.207,bbox,0.865,0.298,0.762,0.067,3.8089,8.0317,0.4695,,0.6972,
157,5.233,4.228,4.228,bbox,0.909,0.298,0.762,0.067,3.8082,8.0483,,,,
158,5.267,,,,0.909,0.298,0.762,0.067,,,,,,
159,5.3,,,,0.909,0.298,0.762,0.067,,,,,,
160,5.333,,,,0.909,0.298,0.762,0.067,,,,,,
161,5.367,,,,0.909,0.298,0.762,0.067,,,,,,
162,5.4,,,,0.909,0.298,0.762,0.067,,,,,,
163,5.433,,,,0.909,0.298,0.762,0.067,,,,,,
164,5.467,,,,0.909,0.298,0.762,0.067,,,,,,
165,5.5,,,,0.909,0.298,0.762,0.067,,,,,,
166,5.533,,,,0.909,0.298,0.762,0.067,,,,,,
167,5.567,,,,0.909,0.298,0.762,0.067,,,,,,
168,5.6,4.426,4.228,bbox,0.909,0.298,0.762,0.114,3.759,8.1878,0.4492,,0.6973,
169,5.633,4.455,4.228,bbox,0.909,0.298,0.762,0.114,3.7498,8.1823,,,,
170,5.667,4.445,4.426,bbox,0.909,0.347,0.762,0.255,3.7435,8.1723,,,,
171,5.7,,,,0.909,0.347,0.762,0.255,,,,,,
172,5.733,,,,0.909,0.347,0.762,0.255,,,,,,
173,5.767,,,,0.909,0.347,0.762,0.255,,,,,,
174,5.8,,,,0.909,0.347,0.762,0.255,,,,,,
175,5.833,,,,0.909,0.347,0.762,0.255,,,,,,
176,5.867,,,,0.909,0.347,0.762,0.255,,,,,,
177,5.9,4.256,4.426,bbox,0.909,0.347,0.762,0.255,3.7474,8.0378,0.4645,,0.7188,
178,5.933,4.236,4.426,bbox,0.909,0.347,0.762,0.255,3.7538,8.0101,,,,
179,5.967,4.21,4.256,bbox,0.909,0.347,0.897,0.255,3.7518,7.996,,,,
180,6.0,4.142,4.236,bbox,0.909,0.347,0.897,0.255,3.7623,7.9697,0.4727,,0.7144,
181,6.033,4.136,4.21,bbox,0.909,0.347,0.938,0.255,3.7618,7.9471,,,,
182,6.067,4.108,4.142,bbox,0.909,0.347,0.938,0.255,3.7633,7.9288,,,,
183,6.1,3.965,4.136,pose,0.909,0.347,0.987,0.255,3.7645,7.9067,0.4914,0.4387,0.7196,0.7013
