frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
196,6.726,2.87,2.86,2.87,bbox,1.835,1.884,3.042,0.485,1.8474,4.8692,,,,
197,6.76,2.88,2.865,2.88,bbox,1.835,1.884,3.042,0.485,1.8284,4.8645,,,,
198,6.795,2.362,2.865,2.902,pose,1.835,1.884,3.042,0.485,1.8193,4.878,0.7074,0.8927,0.6756,0.8695
199,6.829,2.907,2.87,2.907,bbox,1.835,1.884,3.042,0.485,1.8117,4.9024,,,,
200,6.863,2.917,2.88,2.917,bbox,1.835,1.884,3.042,0.485,1.8456,4.9303,,,,
201,6.898,2.283,2.88,2.886,pose,1.835,1.884,3.042,0.485,1.8796,4.9694,0.7664,0.927,0.6011,0.9086
202,6.932,2.905,2.905,2.905,bbox,1.835,1.884,3.042,0.538,1.9078,5.0097,,,,
203,6.966,2.888,2.905,2.888,bbox,1.886,1.884,3.042,0.577,1.9526,5.0347,,,,
204,7.001,2.257,2.888,2.9,pose,1.886,1.884,3.042,0.617,2.0146,5.0643,0.9757,0.8547,0.4812,0.8549
205,7.035,2.908,2.888,2.908,bbox,1.959,1.884,3.042,0.617,2.0693,5.0888,,,,
206,7.069,2.872,2.888,2.872,bbox,2.021,1.884,3.042,0.672,2.1515,5.0882,,,,
207,7.104,2.871,2.872,2.871,bbox,2.076,1.884,3.042,0.672,2.2614,5.1441,,0.849,,0.8407
208,7.138,2.914,2.872,2.914,bbox,2.158,1.884,3.042,0.672,2.3175,5.2256,,,,
209,7.172,2.919,2.908,2.919,bbox,2.268,1.884,3.042,0.752,2.3755,5.2544,,,,
210,7.207,2.784,2.872,2.784,bbox,2.324,1.884,3.042,0.752,2.4286,5.1703,,0.8885,,0.8852
211,7.241,2.75,2.871,2.75,bbox,2.382,1.884,3.042,0.752,2.4401,5.1449,,,,
212,7.275,2.745,2.784,2.745,bbox,2.435,1.884,3.042,0.752,2.453,5.1114,,,,
213,7.31,2.769,2.769,2.769,bbox,2.435,1.884,3.042,0.752,2.455,5.0885,,0.8342,,0.8558
214,7.344,2.805,2.769,2.805,bbox,2.435,1.884,3.074,0.752,2.4598,5.0687,,,,
215,7.378,2.84,2.769,2.84,bbox,2.435,1.884,3.074,0.752,2.4598,5.0665,,,,
216,7.412,2.465,2.769,2.865,pose,2.435,1.884,3.117,0.752,2.4412,5.0636,1.0336,0.7755,0.432,0.8043
217,7.447,2.876,2.805,2.876,bbox,2.435,1.884,3.117,0.752,2.43,5.0603,,,,
218,7.481,2.962,2.84,2.962,bbox,2.435,1.884,3.117,0.752,2.3645,5.0708,,,,
219,7.515,2.485,2.84,2.969,pose,2.435,1.884,3.117,0.752,2.3294,5.0844,1.0121,0.7731,0.5243,0.7422
220,7.55,3.002,2.876,3.002,bbox,2.435,1.949,3.117,0.752,2.2937,5.1009,,,,
221,7.584,2.965,2.962,2.965,bbox,2.435,1.984,3.117,0.752,2.3029,5.1171,,,,
222,7.618,2.354,2.962,2.903,pose,2.435,1.984,3.117,0.784,2.3097,5.1132,1.0168,0.8315,0.5206,0.7906
223,7.653,2.883,2.883,2.883,bbox,2.435,1.984,3.117,0.784,2.2874,5.1061,,,,
224,7.687,2.862,2.883,2.862,bbox,2.435,2.019,3.117,0.784,2.2846,5.1044,,,,
225,7.721,2.352,2.862,2.859,pose,2.435,2.019,3.117,0.784,2.2797,5.0969,1.0005,0.827,0.4741,0.8493
226,7.756,2.839,2.839,2.839,bbox,2.435,2.019,3.117,0.784,2.3002,5.0988,,,,
227,7.79,2.831,2.839,2.831,bbox,2.435,2.019,3.117,0.784,2.3282,5.1065,,,,
228,7.824,2.169,2.831,2.77,pose,2.435,2.019,3.117,0.784,2.3773,5.1156,0.9463,0.9967,0.4486,0.8494
229,7.859,2.744,2.744,2.744,bbox,2.47,2.019,3.117,0.784,2.4796,5.164,,,,
230,7.893,2.718,2.744,2.718,bbox,2.519,2.019,3.117,0.784,2.5544,5.1858,,,,
231,7.927,2.745,2.744,2.745,bbox,2.621,2.019,3.117,0.847,2.5703,5.2017,,0.9247,,0.8166
232,7.962,2.756,2.744,2.756,bbox,2.696,2.019,3.117,0.847,2.5726,5.2089,,,,
233,7.996,2.759,2.745,2.759,bbox,2.696,2.019,3.117,0.885,2.574,5.2382,,,,
234,8.03,2.207,2.745,2.745,pose,2.696,2.019,3.117,0.885,2.5699,5.2529,0.9527,0.9737,0.494,0.8154
235,8.065,2.745,2.745,2.745,bbox,2.696,2.019,3.117,0.921,2.5633,5.311,,,,
236,8.099,2.752,2.752,2.752,bbox,2.696,2.019,3.117,0.921,2.5496,5.354,,,,
237,8.133,2.139,2.745,2.786,pose,2.696,2.019,3.117,0.994,2.5034,5.3924,0.9569,0.9933,0.5523,0.8613
238,8.167,2.932,2.745,2.932,bbox,2.696,2.019,3.117,1.037,2.4682,5.5249,,,,
239,8.202,3.148,2.752,3.148,bbox,2.696,2.07,3.117,1.075,2.4418,5.6561,,,,
240,8.236,2.541,2.752,3.302,pose,2.696,2.106,3.117,1.208,2.4111,5.734,0.8765,0.8763,0.5633,0.7962
