frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
195,6.692,2.367,2.335,pose,1.835,1.884,3.042,0.485,1.8497,4.856,0.6899,0.8607,0.7109,0.827
196,6.726,2.373,2.351,pose,1.835,1.884,3.042,0.485,1.8474,4.8692,0.6732,0.8596,0.7038,0.8406
197,6.76,2.362,2.362,pose,1.835,1.884,3.042,0.485,1.8284,4.8645,0.6838,0.8713,0.6957,0.8477
198,6.795,2.362,2.362,pose,1.835,1.884,3.042,0.485,1.8193,4.878,0.7074,0.8927,0.6756,0.8695
199,6.829,2.363,2.363,pose,1.835,1.884,3.042,0.485,1.8117,4.9024,0.535,0.9048,0.6274,0.9115
200,6.863,2.318,2.362,pose,1.835,1.884,3.042,0.485,1.8456,4.9303,0.7386,0.9152,0.6049,0.9121
201,6.898,2.283,2.362,pose,1.835,1.884,3.042,0.485,1.8796,4.9694,0.7664,0.927,0.6011,0.9086
202,6.932,2.279,2.318,pose,1.835,1.884,3.042,0.538,1.9078,5.0097,0.8203,0.9034,0.5971,0.9046
203,6.966,2.888,2.318,bbox,1.886,1.884,3.042,0.577,1.9526,5.0347,,0.8648,,0.8899
204,7.001,2.257,2.283,pose,1.886,1.884,3.042,0.617,2.0146,5.0643,0.9757,0.8547,0.4812,0.8549
205,7.035,2.908,2.283,bbox,1.959,1.884,3.042,0.617,2.0693,5.0888,,0.8595,,0.8264
206,7.069,2.872,2.872,bbox,2.021,1.884,3.042,0.672,2.1515,5.0882,,0.8605,,0.8299
207,7.104,2.871,2.872,bbox,2.076,1.884,3.042,0.672,2.2614,5.1441,,0.849,,0.8407
208,7.138,2.213,2.871,pose,2.158,1.884,3.042,0.672,2.3175,5.2256,1.0245,0.8636,0.513,0.8727
209,7.172,2.919,2.872,bbox,2.268,1.884,3.042,0.752,2.3755,5.2544,,0.8603,,0.8821
210,7.207,2.784,2.871,bbox,2.324,1.884,3.042,0.752,2.4286,5.1703,,0.8885,,0.8852
211,7.241,2.171,2.784,pose,2.382,1.884,3.042,0.752,2.4401,5.1449,0.9588,0.913,0.3815,0.8866
212,7.275,2.255,2.255,pose,2.435,1.884,3.042,0.752,2.453,5.1114,0.6336,0.8566,0.3569,0.8663
213,7.31,2.769,2.769,bbox,2.435,1.884,3.042,0.752,2.455,5.0885,,0.8342,,0.8558
214,7.344,2.213,2.255,pose,2.435,1.884,3.074,0.752,2.4598,5.0687,1.0393,0.8182,0.355,0.8434
215,7.378,2.419,2.255,pose,2.435,1.884,3.074,0.752,2.4598,5.0665,1.03,0.8119,0.4359,0.7909
216,7.412,2.465,2.419,pose,2.435,1.884,3.117,0.752,2.4412,5.0636,1.0336,0.7755,0.432,0.8043
217,7.447,2.456,2.456,pose,2.435,1.884,3.117,0.752,2.43,5.0603,1.0248,0.7949,0.4524,0.7693
218,7.481,2.498,2.456,pose,2.435,1.884,3.117,0.752,2.3645,5.0708,1.0157,0.7948,0.4878,0.7462
219,7.515,2.485,2.465,pose,2.435,1.884,3.117,0.752,2.3294,5.0844,1.0121,0.7731,0.5243,0.7422
220,7.55,2.452,2.465,pose,2.435,1.949,3.117,0.752,2.2937,5.1009,1.0338,0.8253,0.5187,0.7501
221,7.584,2.965,2.485,bbox,2.435,1.984,3.117,0.752,2.3029,5.1171,,0.8289,,0.768
