frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
157,5.388,2.266,2.266,bbox,1.462,0.251,1.734,0.596
158,5.422,2.215,2.262,bbox,1.462,0.376,1.794,0.596
159,5.456,1.841,2.248,pose,1.462,0.426,1.794,0.596
160,5.491,2.146,2.215,bbox,1.462,0.426,1.887,0.596
161,5.525,2.17,2.17,bbox,1.462,0.426,1.942,0.596
162,5.559,,,,1.462,0.426,1.942,0.596
163,5.594,,,,1.462,0.426,1.942,0.596
164,5.628,2.228,2.17,bbox,1.462,0.426,2.003,0.596
165,5.662,2.309,2.17,bbox,1.462,0.426,2.003,0.596
166,5.697,2.46,2.228,bbox,1.462,0.477,2.003,0.596
167,5.731,2.465,2.309,bbox,1.462,0.538,2.003,0.596
168,5.765,2.578,2.46,bbox,1.462,0.639,2.003,0.596
169,5.8,2.753,2.465,bbox,1.462,0.639,2.003,0.596
170,5.834,2.88,2.578,bbox,1.462,0.705,2.003,0.596
171,5.868,2.9,2.753,bbox,1.462,0.705,2.003,0.596
172,5.903,2.881,2.88,bbox,1.462,0.787,2.003,0.596
173,5.937,2.816,2.88,bbox,1.462,0.819,2.003,0.596
174,5.971,2.837,2.88,bbox,1.462,0.864,2.044,0.596
175,6.005,2.8,2.837,bbox,1.462,0.897,2.095,0.596
176,6.04,2.716,2.816,bbox,1.462,0.971,2.095,0.596
177,6.074,2.658,2.8,bbox,1.462,0.971,2.095,0.596
178,6.108,2.629,2.716,bbox,1.462,0.971,2.095,0.596
179,6.143,2.582,2.658,bbox,1.462,0.971,2.138,0.596
180,6.177,2.204,2.629,pose,1.462,0.971,2.138,0.596
181,6.211,2.613,2.613,bbox,1.462,0.971,2.181,0.596
182,6.246,2.755,2.613,bbox,1.462,1.016,2.238,0.596
183,6.28,2.334,2.582,pose,1.462,1.121,2.238,0.596
184,6.314,2.876,2.613,bbox,1.462,1.176,2.238,0.596
185,6.349,2.911,2.755,bbox,1.462,1.215,2.238,0.596
186,6.383,2.314,2.755,pose,1.462,1.215,2.238,0.596
187,6.417,2.92,2.876,bbox,1.462,1.215,2.238,0.627
188,6.452,2.899,2.899,bbox,1.462,1.215,2.238,0.627
189,6.486,2.281,2.899,pose,1.462,1.215,2.238,0.627
190,6.52,2.872,2.872,bbox,1.462,1.215,2.238,0.627
191,6.555,2.875,2.875,bbox,1.462,1.215,2.238,0.627
192,6.589,2.291,2.872,pose,1.462,1.215,2.238,0.627
193,6.623,2.861,2.861,bbox,1.462,1.215,2.238,0.627
194,6.658,2.863,2.863,bbox,1.462,1.215,2.238,0.627
195,6.692,2.335,2.861,pose,1.462,1.215,2.238,0.627
196,6.726,2.842,2.842,bbox,1.462,1.215,2.238,0.627
197,6.76,2.856,2.856,bbox,1.462,1.215,2.238,0.627
