frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
191,6.367,4.034,4.034,bbox,1.407,0.426,1.423,0.236
192,6.4,4.011,4.016,bbox,1.456,0.426,1.423,0.236
193,6.433,4.02,4.016,bbox,1.456,0.426,1.423,0.236
194,6.467,4.009,4.016,bbox,1.456,0.426,1.423,0.236
195,6.5,4.027,4.02,bbox,1.491,0.426,1.423,0.236
196,6.533,4.034,4.02,bbox,1.491,0.426,1.464,0.236
197,6.567,4.045,4.027,bbox,1.491,0.426,1.464,0.236
198,6.6,3.968,4.027,bbox,1.491,0.426,1.464,0.236
199,6.633,3.931,4.027,bbox,1.491,0.426,1.464,0.236
200,6.667,4.003,4.003,bbox,1.491,0.426,1.506,0.236
201,6.7,4.041,4.003,bbox,1.491,0.426,1.506,0.236
202,6.733,4.063,4.003,bbox,1.491,0.426,1.557,0.236
203,6.767,3.937,4.003,bbox,1.491,0.426,1.557,0.236
204,6.8,3.837,4.003,bbox,1.491,0.426,1.557,0.236
205,6.833,3.862,3.937,bbox,1.567,0.426,1.557,0.236
206,6.867,3.808,3.862,bbox,1.615,0.426,1.557,0.236
207,6.9,3.04,3.837,pose,1.615,0.426,1.557,0.236
208,6.933,3.726,3.808,bbox,1.663,0.426,1.557,0.236
209,6.967,3.617,3.726,bbox,1.663,0.426,1.615,0.236
210,7.0,3.578,3.617,bbox,1.722,0.426,1.65,0.236
211,7.033,3.613,3.613,bbox,1.762,0.426,1.65,0.236
212,7.067,3.555,3.613,bbox,1.762,0.426,1.65,0.236
213,7.1,3.52,3.578,bbox,1.762,0.426,1.65,0.236
214,7.133,3.434,3.555,bbox,1.816,0.426,1.65,0.236
215,7.167,3.396,3.52,bbox,1.869,0.426,1.65,0.236
216,7.2,3.266,3.434,pose,1.869,0.426,1.65,0.236
217,7.233,3.371,3.396,bbox,1.945,0.426,1.65,0.236
218,7.267,3.408,3.396,bbox,1.976,0.426,1.65,0.27
219,7.3,3.479,3.396,bbox,2.016,0.426,1.65,0.27
220,7.333,3.434,3.408,bbox,2.016,0.426,1.65,0.309
221,7.367,3.464,3.434,bbox,2.016,0.426,1.65,0.343
222,7.4,3.489,3.464,bbox,2.016,0.426,1.65,0.343
223,7.433,3.541,3.479,bbox,2.016,0.426,1.65,0.343
224,7.467,3.56,3.489,bbox,2.016,0.426,1.65,0.343
225,7.5,3.582,3.541,bbox,2.016,0.426,1.65,0.343
226,7.533,3.612,3.56,bbox,2.016,0.426,1.65,0.378
227,7.567,3.642,3.582,bbox,2.016,0.426,1.65,0.378
228,7.6,3.649,3.612,bbox,2.016,0.426,1.65,0.378
229,7.633,3.609,3.612,bbox,2.016,0.426,1.65,0.378
230,7.667,3.591,3.612,bbox,2.016,0.426,1.65,0.378
231,7.7,3.562,3.609,bbox,2.016,0.426,1.65,0.378
232,7.733,3.551,3.591,bbox,2.016,0.426,1.65,0.429
233,7.767,3.554,3.562,bbox,2.051,0.426,1.65,0.429
234,7.8,3.617,3.562,bbox,2.051,0.426,1.65,0.429
235,7.833,3.629,3.562,bbox,2.051,0.426,1.65,0.476
236,7.867,3.621,3.617,bbox,2.088,0.426,1.65,0.476
