frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
131,2.186,2.233,2.231,bbox,0.647,0.453,1.007,0.175
132,2.202,1.743,2.218,pose,0.647,0.453,1.007,0.175
133,2.219,2.238,2.233,bbox,0.647,0.453,1.007,0.175
134,2.236,2.262,2.235,bbox,0.647,0.453,1.007,0.175
135,2.252,1.824,2.233,pose,0.647,0.453,1.007,0.22
136,2.269,2.326,2.238,bbox,0.647,0.453,1.007,0.255
137,2.286,2.393,2.262,bbox,0.647,0.453,1.007,0.255
138,2.302,1.915,2.262,pose,0.647,0.453,1.007,0.304
139,2.319,2.473,2.326,bbox,0.647,0.453,1.007,0.304
140,2.336,2.512,2.393,bbox,0.647,0.453,1.007,0.339
141,2.352,1.912,2.393,pose,0.647,0.453,1.007,0.339
142,2.369,2.573,2.473,bbox,0.647,0.498,1.007,0.376
143,2.386,2.603,2.512,bbox,0.647,0.498,1.007,0.376
144,2.402,1.863,2.512,pose,0.647,0.498,1.007,0.376
145,2.419,2.651,2.573,bbox,0.647,0.498,1.007,0.422
146,2.436,2.634,2.603,bbox,0.647,0.498,1.007,0.422
147,2.452,1.771,2.603,pose,0.647,0.498,1.007,0.422
148,2.469,2.695,2.634,bbox,0.647,0.498,1.007,0.422
149,2.486,2.59,2.634,bbox,0.647,0.498,1.007,0.422
150,2.502,1.706,2.59,pose,0.647,0.498,1.007,0.422
151,2.519,2.534,2.534,bbox,0.647,0.498,1.007,0.422
152,2.536,2.513,2.534,bbox,0.69,0.498,1.007,0.422
153,2.553,1.69,2.513,pose,0.69,0.498,1.007,0.455
154,2.569,2.506,2.506,bbox,0.734,0.498,1.007,0.455
155,2.586,2.502,2.506,bbox,0.734,0.498,1.007,0.455
156,2.603,1.719,2.502,pose,0.734,0.498,1.007,0.455
157,2.619,2.514,2.502,bbox,0.771,0.498,1.007,0.519
158,2.636,2.543,2.506,bbox,0.771,0.498,1.007,0.519
159,2.653,1.851,2.502,pose,0.771,0.498,1.007,0.551
160,2.669,2.576,2.514,bbox,0.771,0.498,1.007,0.602
161,2.686,2.594,2.543,bbox,0.771,0.498,1.007,0.602
162,2.703,1.978,2.543,pose,0.771,0.498,1.007,0.641
163,2.719,2.679,2.576,bbox,0.771,0.498,1.007,0.641
164,2.736,2.681,2.594,bbox,0.801,0.498,1.007,0.641
165,2.753,1.953,2.594,pose,0.801,0.498,1.007,0.706
166,2.769,2.617,2.617,bbox,0.801,0.498,1.007,0.752
167,2.786,2.583,2.617,bbox,0.832,0.498,1.007,0.752
168,2.803,1.945,2.583,pose,0.866,0.498,1.007,0.752
169,2.819,2.514,2.514,bbox,0.866,0.498,1.007,0.797
170,2.836,2.475,2.514,bbox,0.904,0.498,1.007,0.797
171,2.853,1.927,2.475,pose,0.904,0.498,1.007,0.797
172,2.87,2.437,2.437,bbox,0.967,0.498,1.007,0.797
173,2.886,2.422,2.437,bbox,0.967,0.498,1.007,0.797
174,2.903,1.917,2.422,pose,0.967,0.498,1.007,0.797
175,2.92,2.41,2.41,bbox,1.042,0.498,1.007,0.797
176,2.936,2.395,2.41,bbox,1.042,0.498,1.007,0.827
177,2.953,1.901,2.395,pose,1.042,0.498,1.007,0.827
178,2.97,2.387,2.387,bbox,1.042,0.498,1.007,0.827
179,2.986,2.351,2.387,bbox,1.042,0.498,1.007,0.827
180,3.003,1.902,2.351,pose,1.042,0.498,1.007,0.827
181,3.02,2.394,2.351,bbox,1.077,0.498,1.007,0.879
182,3.036,2.419,2.387,bbox,1.077,0.498,1.007,0.879
183,3.053,1.935,2.351,pose,1.077,0.498,1.007,0.913
184,3.07,2.538,2.394,bbox,1.077,0.498,1.007,0.975
185,3.086,2.594,2.419,bbox,1.077,0.498,1.007,0.975
186,3.103,1.972,2.419,pose,1.077,0.498,1.007,1.012
187,3.12,2.625,2.538,bbox,1.077,0.498,1.007,1.045
188,3.136,2.64,2.594,bbox,1.077,0.498,1.007,1.045
189,3.153,1.921,2.594,pose,1.077,0.498,1.007,1.045
190,3.17,2.615,2.615,bbox,1.127,0.498,1.007,1.135
191,3.187,2.617,2.617,bbox,1.127,0.498,1.007,1.135
192,3.203,1.883,2.615,pose,1.127,0.498,1.007,1.135
193,3.22,2.589,2.589,bbox,1.17,0.498,1.007,1.135
194,3.237,2.578,2.589,bbox,1.17,0.498,1.007,1.135
195,3.253,1.848,2.578,pose,1.17,0.498,1.007,1.135
196,3.27,2.53,2.53,bbox,1.201,0.498,1.007,1.135
197,3.287,2.528,2.53,bbox,1.201,0.498,1.007,1.135
198,3.303,1.832,2.528,pose,1.201,0.498,1.007,1.135
199,3.32,2.481,2.481,bbox,1.239,0.498,1.007,1.135
200,3.337,2.474,2.481,bbox,1.239,0.498,1.007,1.135
201,3.353,1.837,2.474,pose,1.239,0.498,1.007,1.135
202,3.37,2.472,2.472,bbox,1.239,0.498,1.007,1.171
203,3.387,2.483,2.474,bbox,1.279,0.498,1.007,1.171
204,3.403,1.86,2.472,pose,1.279,0.498,1.007,1.171
205,3.42,2.483,2.472,bbox,1.279,0.498,1.007,1.252
206,3.437,2.545,2.483,bbox,1.279,0.498,1.007,1.252
207,3.453,1.974,2.483,pose,1.279,0.498,1.007,1.302
208,3.47,2.589,2.483,bbox,1.382,0.498,1.007,1.302
209,3.487,2.546,2.545,bbox,1.382,0.498,1.007,1.337
210,3.504,1.972,2.545,pose,1.382,0.498,1.007,1.337
211,3.52,2.574,2.546,bbox,1.413,0.498,1.007,1.4
212,3.537,2.585,2.574,bbox,1.413,0.498,1.007,1.4
213,3.554,1.976,2.546,pose,1.413,0.498,1.007,1.4
214,3.57,2.589,2.574,bbox,1.413,0.529,1.007,1.4
215,3.587,2.578,2.578,bbox,1.413,0.529,1.007,1.4
216,3.604,1.954,2.578,pose,1.413,0.529,1.007,1.4
217,3.62,2.542,2.542,bbox,1.413,0.529,1.007,1.4
218,3.637,2.555,2.555,bbox,1.413,0.529,1.007,1.4
219,3.654,1.933,2.542,pose,1.413,0.529,1.007,1.4
220,3.67,2.548,2.542,bbox,1.413,0.578,1.007,1.4
