frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
256,8.785,2.922,2.906,bbox,2.894,2.268,3.887,1.929
257,8.819,2.953,2.922,bbox,2.929,2.268,3.921,1.929
258,8.854,2.383,2.906,pose,2.929,2.268,3.921,1.929
259,8.888,2.918,2.918,bbox,2.964,2.268,3.921,1.929
260,8.922,2.909,2.918,bbox,2.964,2.268,3.921,1.929
261,8.957,2.159,2.909,pose,3.039,2.268,3.921,1.929
262,8.991,2.903,2.903,bbox,3.039,2.268,3.921,2.005
263,9.025,2.901,2.903,bbox,3.09,2.268,3.921,2.05
264,9.06,2.162,2.901,pose,3.171,2.268,3.921,2.088
265,9.094,2.924,2.901,bbox,3.171,2.268,3.921,2.088
266,9.128,2.945,2.903,bbox,3.223,2.268,3.921,2.088
267,9.163,2.269,2.901,pose,3.223,2.268,3.921,2.154
268,9.197,2.999,2.924,bbox,3.223,2.268,3.921,2.154
269,9.231,2.992,2.945,bbox,3.258,2.268,3.921,2.199
270,9.266,2.293,2.945,pose,3.258,2.268,3.921,2.199
271,9.3,2.987,2.987,bbox,3.258,2.268,3.921,2.199
272,9.334,2.98,2.987,bbox,3.258,2.268,3.921,2.199
273,9.369,2.051,2.98,pose,3.258,2.268,3.921,2.199
274,9.403,2.899,2.899,bbox,3.258,2.268,3.968,2.199
275,9.437,2.831,2.899,bbox,3.258,2.268,4.068,2.199
276,9.472,2.723,2.831,bbox,3.258,2.268,4.136,2.199
277,9.506,2.679,2.723,bbox,3.258,2.307,4.22,2.199
278,9.54,2.567,2.723,bbox,3.258,2.307,4.349,2.199
279,9.574,2.17,2.679,pose,3.258,2.307,4.44,2.199
280,9.609,2.444,2.567,bbox,3.258,2.307,4.44,2.199
281,9.643,2.387,2.444,bbox,3.258,2.307,4.547,2.199
282,9.677,1.985,2.387,pose,3.258,2.353,4.547,2.199
283,9.712,2.38,2.38,bbox,3.258,2.425,4.547,2.199
284,9.746,2.432,2.387,bbox,3.258,2.425,4.602,2.199
285,9.78,1.832,2.38,pose,3.258,2.476,4.602,2.199
286,9.815,2.379,2.379,bbox,3.258,2.529,4.647,2.199
287,9.849,2.568,2.38,bbox,3.258,2.529,4.647,2.199
288,9.883,1.756,2.379,pose,3.258,2.584,4.647,2.199
289,9.918,2.29,2.29,bbox,3.258,2.584,4.647,2.199
290,9.952,2.262,2.29,bbox,3.258,2.62,4.754,2.199
291,9.986,1.428,2.262,pose,3.258,2.62,4.834,2.199
292,10.021,2.23,2.23,bbox,3.258,2.674,4.834,2.199
293,10.055,2.205,2.23,bbox,3.258,2.674,4.869,2.199
294,10.089,1.615,2.205,pose,3.258,2.674,4.993,2.199
295,10.124,2.36,2.205,bbox,3.258,2.773,4.993,2.199
296,10.158,2.352,2.23,bbox,3.258,2.827,5.061,2.199
297,10.192,2.313,2.313,bbox,3.258,2.827,5.126,2.199
298,10.226,2.276,2.313,bbox,3.258,2.827,5.126,2.199
299,10.261,2.242,2.313,bbox,3.295,2.827,5.126,2.199
300,10.295,2.337,2.313,bbox,3.342,2.827,5.126,2.242
301,10.329,2.237,2.276,bbox,3.45,2.827,5.126,2.312
302,10.364,2.255,2.255,bbox,3.45,2.827,5.126,2.455
303,10.398,2.371,2.255,pose,3.45,2.827,5.126,2.503
304,10.432,2.387,2.337,bbox,3.45,2.827,5.126,2.548
305,10.467,2.511,2.371,bbox,3.45,2.827,5.126,2.591
306,10.501,2.273,2.371,pose,3.45,2.872,5.126,2.651
307,10.535,2.662,2.387,bbox,3.45,2.929,5.126,2.681
308,10.57,2.67,2.511,bbox,3.45,2.929,5.126,2.681
309,10.604,2.244,2.511,pose,3.45,2.929,5.126,2.715
310,10.638,2.728,2.662,bbox,3.45,2.929,5.126,2.715
311,10.673,2.719,2.67,bbox,3.45,2.929,5.126,2.748
312,10.707,2.11,2.67,pose,3.45,2.929,5.126,2.748
313,10.741,2.649,2.649,bbox,3.45,2.929,5.126,2.795
314,10.776,2.574,2.649,bbox,3.45,2.929,5.126,2.795
315,10.81,1.89,2.574,pose,3.45,2.929,5.126,2.795
316,10.844,2.447,2.447,bbox,3.518,2.929,5.126,2.795
317,10.879,2.437,2.447,bbox,3.554,2.929,5.126,2.795
318,10.913,1.927,2.437,pose,3.554,2.929,5.126,2.795
319,10.947,2.364,2.364,bbox,3.626,2.929,5.126,2.795
320,10.981,2.349,2.364,bbox,3.669,2.929,5.126,2.795
321,11.016,2.341,2.349,bbox,3.748,2.929,5.126,2.795
322,11.05,2.358,2.349,bbox,3.748,2.929,5.126,2.795
323,11.084,2.386,2.358,bbox,3.801,2.929,5.126,2.795
324,11.119,1.923,2.349,pose,3.801,2.929,5.126,2.828
325,11.153,2.441,2.358,bbox,3.801,2.929,5.126,2.862
326,11.187,2.522,2.386,bbox,3.801,2.929,5.126,2.959
327,11.222,1.96,2.386,pose,3.801,2.929,5.126,2.959
328,11.256,2.692,2.441,bbox,3.801,2.929,5.126,3.044
329,11.29,2.832,2.522,bbox,3.801,2.929,5.126,3.117
330,11.325,2.234,2.522,pose,3.801,2.963,5.126,3.194
331,11.359,2.906,2.692,bbox,3.801,2.963,5.126,3.242
332,11.393,2.946,2.832,bbox,3.801,2.963,5.126,3.303
333,11.428,2.228,2.832,pose,3.801,2.996,5.126,3.337
334,11.462,2.946,2.906,bbox,3.801,2.996,5.126,3.337
335,11.496,2.905,2.906,bbox,3.801,2.996,5.126,3.383
336,11.531,2.191,2.905,pose,3.801,2.996,5.126,3.383
337,11.565,2.762,2.762,bbox,3.801,2.996,5.126,3.383
338,11.599,2.702,2.762,bbox,3.801,2.996,5.126,3.383
339,11.633,2.221,2.702,pose,3.842,2.996,5.126,3.383
340,11.668,2.556,2.556,bbox,3.911,2.996,5.126,3.383
341,11.702,2.544,2.556,bbox,3.946,2.996,5.126,3.383
342,11.736,2.272,2.544,pose,3.946,2.996,5.126,3.383
343,11.771,2.557,2.544,bbox,4.023,2.996,5.126,3.383
344,11.805,2.531,2.544,bbox,4.023,2.996,5.165,3.383
345,11.839,2.063,2.531,pose,4.023,2.996,5.165,3.383
346,11.874,2.722,2.531,bbox,4.065,2.996,5.165,3.467
347,11.908,2.725,2.557,bbox,4.1,2.996,5.165,3.539
348,11.942,2.04,2.531,pose,4.1,2.996,5.165,3.612
349,11.977,2.63,2.63,bbox,4.163,2.996,5.165,3.612
350,12.011,2.683,2.683,bbox,4.223,2.996,5.165,3.612
351,12.045,2.035,2.63,pose,4.223,2.996,5.165,3.672
352,12.08,2.758,2.63,bbox,4.263,2.996,5.165,3.672
353,12.114,2.767,2.683,bbox,4.263,2.996,5.165,3.672
354,12.148,2.159,2.683,pose,4.263,2.996,5.165,3.79
355,12.183,2.871,2.758,bbox,4.301,2.996,5.165,3.825
356,12.217,2.839,2.767,bbox,4.301,2.996,5.165,3.859
357,12.251,2.857,2.839,bbox,4.301,2.996,5.165,3.859
358,12.286,2.89,2.857,bbox,4.301,2.996,5.165,3.859
359,12.32,2.911,2.871,bbox,4.301,2.996,5.165,3.905
360,12.354,2.182,2.857,pose,4.301,2.996,5.165,3.905
361,12.388,2.847,2.857,bbox,4.301,2.996,5.165,3.905
362,12.423,2.804,2.847,bbox,4.301,2.996,5.165,3.905
363,12.457,2.127,2.804,pose,4.301,2.996,5.165,3.945
364,12.491,2.779,2.779,bbox,4.301,2.996,5.165,3.991
365,12.526,2.763,2.779,bbox,4.301,2.996,5.165,3.991
366,12.56,2.305,2.763,pose,4.301,2.996,5.165,3.991
367,12.594,2.887,2.763,bbox,4.301,2.996,5.165,4.034
368,12.629,2.862,2.779,bbox,4.301,2.996,5.165,4.034
369,12.663,2.389,2.763,pose,4.301,2.996,5.165,4.068
370,12.697,2.901,2.862,bbox,4.301,2.996,5.165,4.068
371,12.732,2.866,2.866,bbox,4.301,2.996,5.165,4.119
372,12.766,2.19,2.862,pose,4.301,2.996,5.165,4.119
373,12.8,2.831,2.831,bbox,4.376,2.996,5.165,4.119
374,12.835,2.8,2.831,bbox,4.376,2.996,5.165,4.119
375,12.869,1.994,2.8,pose,4.376,2.996,5.196,4.119
376,12.903,2.608,2.608,bbox,4.376,2.996,5.196,4.119
377,12.938,2.531,2.608,bbox,4.376,2.996,5.357,4.119
378,12.972,1.91,2.531,pose,4.376,3.041,5.453,4.119
379,13.006,2.54,2.531,bbox,4.376,3.089,5.5,4.119
380,13.04,2.573,2.54,bbox,4.376,3.089,5.5,4.119
381,13.075,1.922,2.531,pose,4.376,3.089,5.531,4.119
382,13.109,2.519,2.519,bbox,4.376,3.089,5.605,4.119
383,13.143,2.584,2.54,bbox,4.376,3.089,5.605,4.119
384,13.178,1.977,2.519,pose,4.376,3.121,5.605,4.167
385,13.212,2.647,2.519,bbox,4.376,3.158,5.605,4.167
386,13.246,2.753,2.584,bbox,4.376,3.158,5.605,4.222
387,13.281,2.077,2.584,pose,4.376,3.158,5.605,4.222
388,13.315,2.836,2.647,bbox,4.376,3.158,5.605,4.282
389,13.349,2.889,2.753,bbox,4.376,3.158,5.605,4.282
390,13.384,2.154,2.753,pose,4.376,3.158,5.605,4.282
391,13.418,2.933,2.836,bbox,4.376,3.195,5.605,4.282
392,13.452,2.904,2.889,bbox,4.376,3.195,5.605,4.282
393,13.487,2.109,2.889,pose,4.376,3.195,5.605,4.282
394,13.521,2.782,2.782,bbox,4.376,3.195,5.605,4.282
395,13.555,2.801,2.801,bbox,4.376,3.233,5.636,4.282
396,13.59,2.133,2.782,pose,4.376,3.233,5.676,4.282
397,13.624,2.751,2.751,bbox,4.376,3.284,5.676,4.282
398,13.658,2.717,2.751,bbox,4.376,3.315,5.738,4.282
399,13.693,2.102,2.717,pose,4.376,3.315,5.772,4.282
400,13.727,2.795,2.717,bbox,4.376,3.363,5.772,4.282
401,13.761,2.82,2.751,bbox,4.376,3.363,5.827,4.282
402,13.795,2.228,2.717,pose,4.376,3.363,5.827,4.282
403,13.83,2.825,2.795,bbox,4.376,3.363,5.827,4.282
404,13.864,2.794,2.795,bbox,4.376,3.4,5.857,4.282
405,13.898,2.147,2.794,pose,4.376,3.4,5.857,4.282
406,13.933,2.733,2.733,bbox,4.376,3.4,5.857,4.313
407,13.967,2.763,2.763,bbox,4.376,3.4,5.857,4.313
408,14.001,2.162,2.733,pose,4.376,3.4,5.857,4.363
409,14.036,2.879,2.733,bbox,4.376,3.4,5.857,4.363
