frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
139,2.78,3.061,2.975,bbox,0.658,0.937,1.46,0.754,2.6585,5.5136,,,,
140,2.8,3.039,3.037,bbox,0.658,0.937,1.46,0.754,2.6665,5.5253,,,,
141,2.82,2.236,3.037,pose,0.658,0.937,1.46,0.754,2.6674,5.5273,0.9604,0.9569,0.6423,0.5575
142,2.84,3.134,3.039,bbox,0.658,0.937,1.46,0.754,2.6744,5.5418,,,,
143,2.86,3.162,3.061,bbox,0.658,0.937,1.46,0.754,2.6845,5.5769,,,,
144,2.88,2.404,3.039,pose,0.658,0.937,1.46,0.799,2.695,5.6088,0.9101,0.8036,0.6595,0.6156
145,2.9,3.108,3.108,bbox,0.658,0.937,1.46,0.834,2.7108,5.644,,,,
146,2.92,3.085,3.108,bbox,0.658,0.937,1.46,0.866,2.7256,5.6702,,,,
147,2.94,2.523,3.085,pose,0.701,0.937,1.46,0.901,2.7531,5.6957,0.8309,0.607,0.6815,0.6602
148,2.96,3.006,3.006,bbox,0.701,0.937,1.46,0.901,2.7761,5.7101,,,,
149,2.98,2.974,3.006,bbox,0.743,0.937,1.46,0.953,2.8163,5.7495,,,,
150,3.0,2.592,2.974,pose,0.743,0.937,1.46,0.953,2.844,5.7839,0.7015,0.5146,0.7409,0.6794
151,3.02,2.932,2.932,bbox,0.806,0.937,1.46,1.006,2.8775,5.8129,,,,
152,3.04,2.932,2.932,bbox,0.806,0.937,1.46,1.041,2.9029,5.8319,,,,
153,3.06,2.603,2.932,pose,0.868,0.937,1.46,1.041,2.9203,5.9061,0.6025,0.5582,0.7108,0.6935
154,3.08,2.997,2.932,bbox,0.868,0.937,1.46,1.089,2.9362,5.9411,,,,
155,3.1,3.016,2.932,bbox,0.91,0.937,1.46,1.163,2.9512,5.9571,,,,
156,3.12,2.571,2.932,pose,0.91,0.937,1.46,1.198,2.961,5.9875,0.6889,0.5956,0.7132,0.6817
157,3.14,3.055,2.997,bbox,0.941,0.937,1.46,1.198,2.9706,6.0076,,,,
158,3.16,3.076,3.016,bbox,0.941,0.937,1.46,1.245,2.9897,6.0114,,,,
159,3.18,2.439,3.016,pose,0.941,0.937,1.46,1.245,3.0155,6.0365,0.91,0.6936,0.7288,0.6672
160,3.2,3.109,3.055,bbox,0.98,0.937,1.46,1.245,3.0436,6.0424,,,,
161,3.22,3.15,3.076,bbox,0.98,0.937,1.46,1.293,3.0641,6.0469,,,,
162,3.24,2.357,3.076,pose,1.034,0.937,1.46,1.293,3.0854,6.0579,1.0525,0.7866,0.657,0.6032
163,3.26,2.749,2.749,bbox,1.034,0.937,1.46,1.293,3.1018,6.0595,,,,
164,3.28,2.9,2.9,bbox,1.076,0.937,1.46,1.293,3.0982,6.0359,,,,
165,3.3,2.126,2.749,pose,1.076,0.937,1.46,1.293,3.1029,6.0414,1.1022,0.789,0.6726,0.5936
166,3.32,3.083,2.749,bbox,1.076,0.937,1.46,1.293,3.1045,6.0497,,,,
167,3.34,3.149,2.9,bbox,1.076,0.937,1.46,1.293,3.1079,6.0695,,,,
168,3.36,2.275,2.9,pose,1.076,0.937,1.46,1.293,3.1162,6.0715,1.0696,0.7915,0.6074,0.6212
169,3.38,3.156,3.083,bbox,1.076,0.937,1.46,1.326,3.1254,6.0798,,,,
170,3.4,3.103,3.103,bbox,1.106,0.937,1.46,1.326,3.1357,6.0492,,,,
171,3.42,2.274,3.103,pose,1.106,0.937,1.46,1.326,3.1475,6.0596,1.0041,0.8026,0.5998,0.6748
172,3.44,3.061,3.061,bbox,1.106,0.937,1.46,1.326,3.1506,6.0709,,,,
173,3.46,3.054,3.061,bbox,1.138,0.937,1.46,1.326,3.1543,6.0789,,,,
174,3.48,2.271,3.054,pose,1.138,0.937,1.46,1.326,3.1626,6.1004,0.97,0.7895,0.6545,0.6829
175,3.5,3.014,3.014,bbox,1.138,0.937,1.46,1.326,3.1662,6.103,,,,
176,3.52,3.038,3.038,bbox,1.138,0.937,1.46,1.357,3.1665,6.1337,,,,
177,3.54,2.34,3.014,pose,1.138,0.937,1.46,1.357,3.1674,6.1421,0.9477,0.7476,0.6995,0.6885
178,3.56,3.048,3.014,bbox,1.138,0.937,1.46,1.391,3.1635,6.1432,,,,
179,3.58,3.072,3.038,bbox,1.138,0.937,1.46,1.391,3.1642,6.1561,,,,
180,3.6,2.408,3.038,pose,1.138,0.937,1.46,1.391,3.1557,6.1787,0.964,0.7438,0.7004,0.6443
181,3.62,3.197,3.048,bbox,1.138,0.937,1.46,1.391,3.1471,6.2151,,,,
182,3.64,3.25,3.072,bbox,1.138,0.937,1.46,1.436,3.1342,6.2113,,,,
183,3.66,2.503,3.072,pose,1.138,0.937,1.46,1.436,3.1231,6.1218,0.9967,0.7614,0.675,0.6028
184,3.68,3.243,3.197,bbox,1.138,0.937,1.46,1.436,3.115,6.1402,,,,
185,3.7,3.214,3.214,bbox,1.138,0.937,1.499,1.436,3.1069,6.1264,,,,
