frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
147,4.905,0.642,1.217,1.201,pose,1.681,0.333,1.717,0.493,3.2662,4.3028,0.7775,0.2748,0.7149,0.6333
148,4.938,1.194,1.194,1.194,bbox,1.681,0.333,1.717,0.493,3.2675,4.3039,,,,
149,4.972,1.188,1.194,1.188,bbox,1.681,0.333,1.717,0.493,3.2719,4.307,,,,
150,5.005,0.66,1.188,1.185,pose,1.681,0.333,1.717,0.493,3.2738,4.3123,0.7786,0.325,0.7362,0.4896
151,5.038,1.184,1.184,1.184,bbox,1.681,0.333,1.717,0.493,3.2776,4.3171,,,,
152,5.072,1.176,1.184,1.176,bbox,1.681,0.333,1.717,0.493,3.2813,4.3204,,,,
153,5.105,0.649,1.176,1.179,pose,1.681,0.333,1.717,0.493,3.2839,4.3321,0.7712,0.2551,0.7386,0.6139
154,5.138,1.175,1.175,1.175,bbox,1.681,0.333,1.717,0.493,3.2869,4.3397,,,,
155,5.172,1.179,1.176,1.179,bbox,1.681,0.333,1.717,0.493,3.2859,4.3477,,,,
156,5.205,0.605,1.175,1.19,pose,1.681,0.333,1.717,0.493,3.2861,4.3564,0.8072,0.271,0.7237,0.6548
157,5.239,1.192,1.175,1.192,bbox,1.681,0.333,1.717,0.493,3.2842,4.3674,,,,
158,5.272,1.258,1.179,1.258,bbox,1.681,0.333,1.717,0.53,3.2316,4.3794,,,,
159,5.305,0.607,1.179,1.29,pose,1.681,0.333,1.717,0.53,3.2092,4.394,0.8175,0.2556,0.7183,0.6717
160,5.339,1.306,1.192,1.306,bbox,1.681,0.39,1.717,0.53,3.2092,4.4085,,,,
161,5.372,1.31,1.258,1.31,bbox,1.681,0.39,1.717,0.567,3.2068,4.4235,,,,
162,5.405,0.633,1.258,1.336,pose,1.681,0.39,1.717,0.567,3.1871,4.4441,0.8028,0.2598,0.7415,0.6797
163,5.439,1.358,1.306,1.358,bbox,1.681,0.39,1.717,0.567,3.1699,4.4568,,,,
164,5.472,1.378,1.31,1.378,bbox,1.681,0.434,1.717,0.617,3.1558,4.4718,,,,
165,5.506,0.775,1.31,1.395,pose,1.681,0.434,1.717,0.617,3.1468,4.4933,0.6589,0.2561,0.7689,0.6646
166,5.539,1.435,1.358,1.435,bbox,1.681,0.466,1.717,0.617,3.119,4.5113,,,,
167,5.572,1.524,1.378,1.524,bbox,1.681,0.466,1.717,0.667,3.051,4.543,,,,
