frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
92,3.07,3.107,3.084,3.107,bbox,0.701,0.621,0.878,0.572,1.2518,4.1245,,,,
93,3.103,2.278,3.084,3.097,pose,0.746,0.621,0.878,0.619,1.2802,4.1335,0.9409,0.81,0.7149,0.5676
94,3.136,3.073,3.073,3.073,bbox,0.785,0.621,0.878,0.619,1.309,4.141,,,,
95,3.17,3.047,3.073,3.047,bbox,0.785,0.621,0.878,0.653,1.3414,4.1618,,,,
96,3.203,2.084,3.047,2.902,pose,0.842,0.621,0.878,0.653,1.385,4.1823,0.944,0.8967,0.7721,0.4944
97,3.237,3.004,3.004,3.004,bbox,0.874,0.621,0.878,0.653,1.4211,4.1998,,,,
98,3.27,3.017,3.017,3.017,bbox,0.918,0.621,0.878,0.702,1.4717,4.2215,,,,
99,3.303,2.149,3.004,2.976,pose,0.954,0.621,0.878,0.702,1.506,4.2405,0.9622,0.8862,0.7472,0.4959
100,3.337,2.803,2.803,2.803,bbox,1.005,0.621,0.878,0.741,1.5339,4.257,,,,
101,3.37,2.999,2.999,2.999,bbox,1.039,0.621,0.878,0.741,1.5642,4.2813,,,,
102,3.403,2.187,2.803,3.003,pose,1.039,0.621,0.878,0.777,1.5842,4.3069,0.9944,0.8537,0.691,0.5477
103,3.437,3.004,2.803,3.004,bbox,1.097,0.621,0.878,0.777,1.5992,4.311,,,,
104,3.47,2.975,2.975,2.975,bbox,1.097,0.621,0.878,0.815,1.6059,4.2953,,,,
105,3.504,2.177,2.975,2.944,pose,1.132,0.621,0.878,0.815,1.6201,4.287,1.0062,0.7894,0.6737,0.5763
106,3.537,2.967,2.967,2.967,bbox,1.132,0.621,0.878,0.815,1.619,4.2962,,,,
107,3.57,2.948,2.967,2.948,bbox,1.132,0.621,0.878,0.815,1.6331,4.3049,,,,
108,3.604,2.179,2.948,2.948,pose,1.132,0.621,0.878,0.815,1.6526,4.3173,1.0103,0.7365,0.6539,0.5707
