frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
129,5.16,1.964,1.575,1.59,pose,0.274,0.302,0.069,0.13,3.2739,4.6667,0.375,0.0528,0.3905,1.2071
130,5.2,1.605,1.605,1.605,bbox,0.274,0.356,0.069,0.13,3.2664,4.6657,,,,
131,5.24,1.617,1.605,1.617,bbox,0.274,0.356,0.069,0.13,3.26,4.6651,,,,
132,5.28,2.094,1.617,1.61,pose,0.274,0.356,0.069,0.13,3.2676,4.6642,0.3589,0.0213,0.3598,1.2801
133,5.32,1.59,1.617,1.59,bbox,0.274,0.356,0.069,0.13,3.2859,4.6648,,,,
134,5.36,1.552,1.605,1.552,bbox,0.274,0.356,0.069,0.13,3.3209,4.664,,,,
135,5.4,2.157,1.617,1.543,pose,0.274,0.356,0.069,0.13,3.3393,4.6662,0.3841,0.0758,0.414,1.3816
136,5.44,1.528,1.59,1.528,bbox,0.274,0.356,0.069,0.13,3.3538,4.6654,,,,
137,5.48,1.534,1.552,1.534,bbox,0.322,0.356,0.069,0.13,3.3659,4.6647,,,,
138,5.52,2.005,1.552,1.554,pose,0.322,0.356,0.069,0.13,3.3678,4.665,0.3725,0.035,0.3928,1.1878
139,5.56,1.555,1.555,1.555,bbox,0.322,0.356,0.069,0.13,3.368,4.6643,,,,
140,5.6,1.564,1.555,1.564,bbox,0.322,0.356,0.069,0.13,3.3637,4.66,,,,
141,5.64,2.033,1.564,1.562,pose,0.322,0.356,0.069,0.13,3.3628,4.6625,0.3789,0.1403,0.3753,1.4035
142,5.68,1.565,1.565,1.565,bbox,0.322,0.356,0.069,0.13,3.3641,4.6585,,,,
143,5.72,1.567,1.565,1.567,bbox,0.322,0.356,0.069,0.13,3.3606,4.6612,,,,
144,5.76,1.555,1.565,1.555,bbox,0.322,0.356,0.069,0.13,3.358,4.6574,0.397,,0.3957,
145,5.8,1.55,1.565,1.55,bbox,0.322,0.356,0.069,0.13,3.3475,4.66,,,,
146,5.84,1.543,1.555,1.543,bbox,0.322,0.356,0.099,0.13,3.3398,4.6594,,,,
147,5.88,1.862,1.555,1.581,pose,0.322,0.356,0.099,0.13,3.2959,4.6578,0.3628,0.0969,0.3848,1.2533
148,5.92,1.607,1.555,1.607,bbox,0.322,0.356,0.099,0.13,3.2593,4.6549,,,,
149,5.96,1.62,1.607,1.62,bbox,0.322,0.399,0.099,0.13,3.2517,4.655,,,,
150,6.0,1.832,1.62,1.621,pose,0.322,0.436,0.099,0.13,3.2517,4.6533,0.356,0.0264,0.3708,1.159
151,6.04,1.612,1.62,1.612,bbox,0.322,0.436,0.099,0.13,3.254,4.6525,,,,
152,6.08,1.596,1.612,1.596,bbox,0.322,0.436,0.099,0.13,3.2545,4.6505,,,,
153,6.12,1.898,1.62,1.589,pose,0.322,0.436,0.099,0.13,3.2517,4.648,0.3509,0.0018,0.4051,1.3021
